iteration,max_fitness,test_accuracy,time
0.0,-0.00031399727,-0.0028898716,0.0
1,-0.00031399727,-0.0028898716,8.998840093612671
2,-0.00031399727,-0.0028898716,8.406715869903564
3,-0.00031399727,-0.0028898716,9.718929290771484
4,-0.00031399727,-0.0028898716,10.859052896499634
5,-0.00031399727,-0.0028898716,9.77090859413147
6,-0.00031399727,-0.0028898716,10.529721736907959
7,-0.00031399727,-0.0028898716,9.277415990829468
8,-0.00027740002,-0.008824825,8.720367908477783
9,-0.00027740002,-0.008824825,10.93885064125061
10,-0.00027740002,-0.008824825,9.888587474822998
11,-0.0002772808,-0.008824825,8.416656494140625
12,-9.906292e-05,-0.003948927,9.69741678237915
13,-4.7683716e-06,-0.0059400797,8.491193532943726
14,-5.00679e-06,-0.0059400797,8.844635009765625
15,-5.00679e-06,-0.0059400797,10.915195941925049
16,-5.00679e-06,-0.0059400797,9.156898975372314
17,-5.00679e-06,-0.0059400797,8.464269876480103
18,-5.00679e-06,-0.0059400797,9.19347882270813
19,-4.887581e-06,-0.0059400797,9.283024072647095
20,-4.887581e-06,-0.0059400797,8.78202772140503
21,-5.00679e-06,-0.0059400797,10.221758604049683
22,-5.00679e-06,-0.0059400797,9.124385356903076
23,-5.00679e-06,-0.0059400797,9.0270094871521
24,-5.00679e-06,-0.0059400797,9.999687194824219
25,-5.00679e-06,-0.0059400797,9.388828754425049
26,-4.887581e-06,-0.0059400797,8.685658693313599
27,-4.887581e-06,-0.0059400797,9.569208860397339
28,-5.00679e-06,-0.0059400797,9.575780153274536
29,-5.00679e-06,-0.0059400797,9.656249046325684
30,-5.00679e-06,-0.0059400797,15.16753625869751
31,-4.887581e-06,-0.0059400797,9.695922136306763
32,-5.00679e-06,-0.0059400797,11.270001411437988
33,-5.00679e-06,-0.0059400797,9.478494644165039
34,-5.00679e-06,-0.0059400797,9.021044731140137
35,-5.00679e-06,-0.0059400797,10.481592178344727
36,-5.00679e-06,-0.0059400797,9.946617841720581
37,-5.00679e-06,-0.0059400797,9.661122560501099
38,-5.00679e-06,-0.0059400797,10.114503860473633
39,-5.00679e-06,-0.0059400797,8.92469048500061
40,-4.887581e-06,-0.0059400797,8.596648454666138
41,-5.00679e-06,-0.0059400797,10.257040739059448
42,0.011600137,0.033352792,10.297106266021729
43,0.011600137,0.033352792,7.640596389770508
44,0.011600256,0.033352792,8.925647974014282
45,0.011600137,0.033352792,9.99006175994873
46,0.011600137,0.033352792,8.99394965171814
47,0.011600137,0.033352792,8.982612609863281
48,0.011600077,0.033352792,9.88210153579712
49,0.011600256,0.033352792,9.489255905151367
50,0.011600137,0.033352792,9.095062017440796
51,0.011600256,0.033352792,8.533671140670776
52,0.011600077,0.033352792,9.507426023483276
53,0.011600077,0.033352792,9.058135986328125
54,0.011600137,0.033352792,9.818747758865356
