iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
0,-0.07204628,0.0,1.5793533,1.2820357,1.2578784,1.0549437,1.2245233,1.3091912,1.2718797,1.3821781,1.5797002,1.2477205,1.2373542,0.990314,1.2074127,1.3029587,1.2535908,1.38601
1,-0.0651027,2.1727094650268555,1.579569,1.2827587,1.2576433,1.0549241,1.2245293,1.307293,1.2719085,1.381404,1.579784,1.2488059,1.237624,0.9902514,1.2074544,1.3029205,1.2538178,1.3859184
2,-0.064207196,1.9815070629119873,1.5767467,1.2777807,1.2548183,1.0532582,1.2228231,1.3054454,1.2690463,1.3796036,1.5773178,1.2444447,1.232731,0.9861669,1.2050025,1.3024639,1.2524934,1.3833902
3,-0.059017062,1.757314682006836,1.5793865,1.2827772,1.257725,1.0536968,1.224566,1.3090743,1.2721546,1.3821262,1.5795323,1.2489192,1.2376478,0.99027246,1.2061528,1.3027427,1.2536122,1.3859432
4,-0.07857978,5.097728252410889,1.5794399,1.2827439,1.2577367,1.054867,1.2244136,1.3091758,1.2719445,1.3821661,1.5798353,1.2489374,1.2376454,0.99044025,1.2067277,1.3028014,1.2528547,1.3856419
5,-0.05894959,2.0507402420043945,1.5794206,1.2822624,1.257793,1.0548913,1.2243611,1.3088983,1.2720945,1.3817972,1.5794263,1.248912,1.2368255,0.99041855,1.2073252,1.3024195,1.2538402,1.3860594
6,-0.07850051,1.7475295066833496,1.5790895,1.2822317,1.2578831,1.0549188,1.2245669,1.3091693,1.2721509,1.3821044,1.5795244,1.2486721,1.2371165,0.9903722,1.2073774,1.3027288,1.2537427,1.3860381
7,-0.10712826,2.1790971755981445,1.5793747,1.2822821,1.2578815,1.0549449,1.224449,1.3091922,1.2717417,1.3818336,1.5798147,1.2482057,1.2375789,0.9903886,1.2070174,1.303027,1.2535889,1.3860294
8,-0.08424139,2.2147884368896484,1.5773185,1.2809504,1.2574772,1.054677,1.2245532,1.3091593,1.2721204,1.3819929,1.5787039,1.248086,1.2375522,0.9901744,1.2066298,1.3028651,1.2537795,1.3860065
9,-0.06312466,2.1412317752838135,1.5747411,1.2784303,1.2570223,1.0536215,1.2239122,1.3081021,1.2718651,1.3821316,1.5782921,1.247803,1.2368983,0.9900344,1.2035161,1.3016046,1.25343,1.3858598
10,-0.094993114,1.9652769565582275,1.5761096,1.2795845,1.2566524,1.0541477,1.2237387,1.3080449,1.2717146,1.3814656,1.5788977,1.2479006,1.2371097,0.990012,1.2032727,1.3016845,1.2531776,1.3854157
11,-0.09664059,1.8304386138916016,1.5795221,1.2827708,1.257517,1.0545388,1.2245653,1.3091953,1.2721322,1.3821733,1.5798173,1.2489133,1.2376478,0.99034995,1.2072512,1.303018,1.2537413,1.3857615
12,-0.050075173,2.2322998046875,1.579566,1.2825726,1.257251,1.054419,1.2244486,1.3089436,1.2721568,1.3821765,1.5791808,1.2482558,1.2375544,0.99044,1.2074592,1.3030251,1.2535363,1.3853078
13,-0.07814348,2.107151746749878,1.579249,1.2821549,1.2578895,1.0548831,1.2245231,1.3091142,1.2721447,1.3821697,1.5796562,1.2485154,1.237333,0.9901691,1.2067862,1.3026781,1.2537147,1.3860508
14,-0.087423325,1.980175256729126,1.5781177,1.2811961,1.2570287,1.0545572,1.2234533,1.3076218,1.2718353,1.3816553,1.5778173,1.2461311,1.2353781,0.98781484,1.2030393,1.3009164,1.2529191,1.3850034
15,-0.10037124,1.826906681060791,1.5766481,1.2820758,1.2572578,1.0549333,1.2201271,1.3072443,1.2710422,1.3813088,1.5790476,1.2486744,1.2376125,0.99043524,1.2062696,1.3028109,1.253803,1.3859495
16,-0.08352578,2.0571115016937256,1.5781825,1.2812347,1.2576758,1.0549407,1.2234217,1.3059075,1.2708378,1.3797733,1.5791945,1.2480304,1.2370703,0.9901868,1.2049699,1.3002642,1.2522858,1.3829608
17,-0.05253339,2.1705265045166016,1.5795692,1.2827247,1.2576445,1.0549514,1.2245182,1.3087627,1.2720615,1.3821702,1.579836,1.2488977,1.2375531,0.9904401,1.2065712,1.3029743,1.2534702,1.3841981
18,-0.07804239,2.167187452316284,1.5793048,1.2824754,1.2578515,1.054917,1.2244374,1.3091861,1.2720227,1.3820847,1.5793245,1.2476755,1.2368337,0.9901328,1.2072768,1.3029771,1.253848,1.3860308
19,-0.064594746,1.776303768157959,1.5762144,1.2801831,1.2565107,1.0535893,1.2225127,1.3067638,1.2713152,1.3820671,1.5794165,1.2481544,1.2373846,0.9901358,1.2040532,1.3018707,1.2533363,1.3855166
20,-0.08594406,1.8233833312988281,1.5742067,1.2784264,1.2559266,1.0529273,1.2229022,1.3075566,1.2703806,1.3808179,1.57631,1.2460401,1.2328111,0.98777723,1.2046865,1.3015493,1.2519351,1.3855933
21,-0.04707122,2.2292847633361816,1.5792383,1.2823033,1.2578921,1.054945,1.2245069,1.3082697,1.2717693,1.3814378,1.579168,1.2479564,1.2372719,0.9902467,1.207469,1.3029765,1.2538408,1.3860589
22,-0.08225989,2.1756303310394287,1.5782648,1.2811482,1.2578465,1.0549599,1.224561,1.3089981,1.2720228,1.3819791,1.5795007,1.2478873,1.2375789,0.9904121,1.2066665,1.3029282,1.2534308,1.3859491
23,-0.09040058,1.990992546081543,1.5795517,1.2827722,1.2577184,1.054721,1.2243826,1.3091848,1.2720606,1.3820999,1.5798141,1.2488307,1.2376217,0.9899208,1.207503,1.3028738,1.2533302,1.3854396
24,-0.08436394,1.7109742164611816,1.5779647,1.28101,1.257674,1.0549492,1.2245431,1.3063784,1.2719218,1.3816954,1.5789094,1.2480578,1.2373803,0.99000037,1.2072439,1.3030239,1.2538481,1.3860567
25,-0.06955445,2.0100138187408447,1.5768772,1.2813119,1.2568661,1.0544242,1.2241969,1.3086896,1.2715838,1.3819182,1.5789899,1.246897,1.237045,0.98989546,1.2035398,1.3012015,1.2531302,1.38502
26,-0.075461745,2.208447217941284,1.5792474,1.2821032,1.2576101,1.0543897,1.2238432,1.3080894,1.272128,1.382042,1.5790523,1.2486479,1.2376429,0.99042344,1.206322,1.3024416,1.2537842,1.3858074
27,-0.05978799,2.113691806793213,1.579073,1.2821121,1.2578048,1.0548676,1.2241985,1.3086209,1.2720989,1.3820013,1.5795654,1.2486205,1.237643,0.9903977,1.205838,1.3030268,1.2536576,1.3857961
28,-0.086830735,1.813605546951294,1.5795406,1.2827756,1.2578111,1.0549365,1.2245667,1.3091753,1.2716954,1.3820344,1.5798337,1.2488903,1.2363144,0.98943174,1.2071425,1.3029648,1.2532042,1.3851228
29,-0.07999253,1.856447696685791,1.5794659,1.2827011,1.2577608,1.0541568,1.2237959,1.3057818,1.2708308,1.3804499,1.5795946,1.2486751,1.2376448,0.9899708,1.2069964,1.3029757,1.252165,1.3852569
30,-0.0732255,2.1809916496276855,1.5389299,1.2454209,1.2319192,1.0544623,1.1379151,1.2493203,1.2441343,1.3667462,1.7371562,1.4204843,1.4665214,1.2638619,1.0822229,1.2136984,1.2163545,1.3600111
31,-0.04094577,2.21130633354187,1.5008537,1.1930108,1.2029048,1.0105908,1.1370704,1.2411175,1.2492893,1.3668512,1.7130438,1.3822876,1.4473922,1.2305601,1.0560681,1.1837226,1.206961,1.347128
32,-0.048542142,1.9646224975585938,1.5006349,1.192197,1.2031468,1.0108635,1.1363978,1.2406616,1.2498138,1.367091,1.7126428,1.3810008,1.4470265,1.2304767,1.0508294,1.1809518,1.204283,1.345107
33,-0.066156864,1.7470877170562744,1.4951533,1.1901493,1.199379,1.0096682,1.1361082,1.241091,1.2498499,1.3672192,1.7059783,1.3764209,1.4411801,1.2268893,1.052642,1.1819972,1.2061027,1.3465137
34,-0.047712326,2.11922550201416,1.5000495,1.1914545,1.2031317,1.0107814,1.1346147,1.2396723,1.2500448,1.3665742,1.7130501,1.3817432,1.4470545,1.2311498,1.0544841,1.1821258,1.2061393,1.3470095
35,-0.0030932426,2.2705557346343994,1.4998839,1.1921101,1.2030671,1.0105977,1.1371675,1.2418942,1.2505453,1.367661,1.7104822,1.3801199,1.4455192,1.2303696,1.0562652,1.183214,1.2070919,1.347237
36,-0.059773803,2.1753368377685547,1.4985267,1.1908998,1.201628,1.0101852,1.1360108,1.2408485,1.2499703,1.3666017,1.7089747,1.3790349,1.4445581,1.2290303,1.0557739,1.1835979,1.2070309,1.3476148
37,-0.023384094,1.883556842803955,1.3741888,1.0787674,1.1069031,0.9393842,1.1611247,1.2756886,1.2927952,1.4113014,1.5986524,1.2846714,1.3576598,1.158708,1.0957488,1.2334062,1.2629764,1.4063939
