n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
2,6,8,3,10,4,2,4,6,1,3,5,0.8,0.54,35,19,ga_nasa_battery_2_20min_adam_wfn_0,0,_wfn,adam,nasa_battery_2_20min
5,2,10,3,3,3,6,4,4,0,8,3,1.0,0.51,31,20,ga_nasa_battery_2_20min_adam_win_0,0,_win,adam,nasa_battery_2_20min
2,6,8,3,10,4,2,4,6,1,3,5,0.8,0.54,35,19,ga_nasa_battery_2_20min_adam_wfn_bfn_0,0,_wfn_bfn,adam,nasa_battery_2_20min
5,2,10,3,3,3,6,4,4,0,8,3,1.0,0.51,31,20,ga_nasa_battery_2_20min_adam_win_bfn_0,0,_win_bfn,adam,nasa_battery_2_20min
2,6,8,3,10,4,2,4,6,1,3,5,0.8,0.54,35,19,ga_nasa_battery_2_20min_adam_wfn_bin_0,0,_wfn_bin,adam,nasa_battery_2_20min
5,2,10,3,3,3,6,4,4,0,8,3,1.0,0.51,31,20,ga_nasa_battery_2_20min_adam_win_bin_0,0,_win_bin,adam,nasa_battery_2_20min
3,6,7,3,5,3,2,4,4,4,2,4,0.8,0.47,28,19,ga_nasa_battery_2_20min_gaussian_wfn_0,0,_wfn,gaussian,nasa_battery_2_20min
5,3,7,3,4,4,1,6,4,7,2,6,1.0,0.52,34,18,ga_nasa_battery_2_20min_gaussian_win_0,0,_win,gaussian,nasa_battery_2_20min
3,6,7,3,5,3,2,4,4,4,2,4,0.8,0.47,28,19,ga_nasa_battery_2_20min_gaussian_wfn_bfn_0,0,_wfn_bfn,gaussian,nasa_battery_2_20min
5,3,7,3,4,4,1,6,4,7,2,6,1.0,0.52,34,18,ga_nasa_battery_2_20min_gaussian_win_bfn_0,0,_win_bfn,gaussian,nasa_battery_2_20min
3,6,7,3,5,3,2,4,4,4,2,4,0.8,0.47,28,19,ga_nasa_battery_2_20min_gaussian_wfn_bin_0,0,_wfn_bin,gaussian,nasa_battery_2_20min
5,3,7,3,4,4,1,6,4,7,2,6,1.0,0.52,34,18,ga_nasa_battery_2_20min_gaussian_win_bin_0,0,_win_bin,gaussian,nasa_battery_2_20min
7,4,3,3,3,5,6,5,4,6,4,4,1.0,0.54,37,17,ga_nasa_battery_2_20min_gaussian_0,0,,gaussian,nasa_battery_2_20min
4,3,1,3,4,9,7,4,3,5,5,6,1.0,0.54,43,11,ga_nasa_battery_2_20min_adam_wfn_1,1,_wfn,adam,nasa_battery_2_20min
5,8,4,1,7,1,5,2,4,5,10,5,1.0,0.57,39,18,ga_nasa_battery_2_20min_adam_win_1,1,_win,adam,nasa_battery_2_20min
4,3,1,3,4,9,7,4,3,5,5,6,1.0,0.54,43,11,ga_nasa_battery_2_20min_adam_wfn_bfn_1,1,_wfn_bfn,adam,nasa_battery_2_20min
5,8,4,1,7,1,5,2,4,5,10,5,1.0,0.57,39,18,ga_nasa_battery_2_20min_adam_win_bfn_1,1,_win_bfn,adam,nasa_battery_2_20min
4,3,1,3,4,9,7,4,3,5,5,6,1.0,0.54,43,11,ga_nasa_battery_2_20min_adam_wfn_bin_1,1,_wfn_bin,adam,nasa_battery_2_20min
5,8,4,1,7,1,5,2,4,5,10,5,1.0,0.57,39,18,ga_nasa_battery_2_20min_adam_win_bin_1,1,_win_bin,adam,nasa_battery_2_20min
5,3,8,2,6,5,5,7,4,6,0,2,0.8,0.53,35,18,ga_nasa_battery_2_20min_gaussian_wfn_1,1,_wfn,gaussian,nasa_battery_2_20min
4,2,5,5,6,2,4,4,6,4,0,6,1.0,0.48,32,16,ga_nasa_battery_2_20min_gaussian_win_1,1,_win,gaussian,nasa_battery_2_20min
5,3,8,2,6,5,5,7,4,6,0,2,0.8,0.53,35,18,ga_nasa_battery_2_20min_gaussian_wfn_bfn_1,1,_wfn_bfn,gaussian,nasa_battery_2_20min
4,2,5,5,6,2,4,4,6,4,0,6,1.0,0.48,32,16,ga_nasa_battery_2_20min_gaussian_win_bfn_1,1,_win_bfn,gaussian,nasa_battery_2_20min
5,3,8,2,6,5,5,7,4,6,0,2,0.8,0.53,35,18,ga_nasa_battery_2_20min_gaussian_wfn_bin_1,1,_wfn_bin,gaussian,nasa_battery_2_20min
4,2,5,5,6,2,4,4,6,4,0,6,1.0,0.48,32,16,ga_nasa_battery_2_20min_gaussian_win_bin_1,1,_win_bin,gaussian,nasa_battery_2_20min
6,2,4,5,3,5,6,4,6,4,4,2,1.0,0.51,34,17,ga_nasa_battery_2_20min_gaussian_1,1,,gaussian,nasa_battery_2_20min
