iteration,max_fitness,time
0.0,-98.95297,0.0
10.0,-35.678905,10.683121
20.0,-32.952103,5.104567
30.0,-31.75827,5.1077504
40.0,-31.75827,5.0838666
50.0,-31.75827,5.06452
60.0,-31.75827,5.0620527
70.0,-26.86236,5.035115
80.0,-26.86236,5.094073
90.0,-26.86236,5.0641117
100.0,-25.524054,5.1434956
110.0,-25.524054,5.0978184
120.0,-12.71702,5.1124077
130.0,-11.372202,5.0705276
140.0,-11.372202,5.0758867
150.0,-5.579762,5.074097
160.0,-5.579762,5.0949383
170.0,-5.579762,5.0777836
180.0,-5.579762,5.082508
190.0,-5.579762,5.0900307
200.0,-5.579762,5.105393
210.0,-5.579762,5.0928946
220.0,-5.579762,5.052232
230.0,-5.579762,5.0769377
240.0,-5.579762,5.057473
250.0,-5.579762,5.1064653
260.0,-5.579762,5.0915184
270.0,-5.579762,5.0919456
280.0,-5.579762,5.097431
290.0,-5.579762,5.1032357
300.0,-5.579762,5.108408
310.0,-5.579762,5.084573
320.0,-5.579762,5.12869
330.0,-4.636566,5.090331
340.0,-4.636566,5.0878496
350.0,-4.636566,5.100193
360.0,-4.636566,5.1033382
370.0,-4.636566,5.1010947
380.0,-4.636566,5.085977
390.0,-4.636566,5.0879955
400.0,-4.636566,5.0965533
410.0,-4.636566,5.1034803
420.0,-4.636566,5.0876865
430.0,-4.636566,5.0967255
440.0,-4.636566,5.0871763
450.0,-4.636566,5.0715446
460.0,-4.636566,5.0823717
470.0,-4.636566,5.0798225
480.0,-4.636566,5.0984535
490.0,-4.636566,5.1103506
500.0,-4.636566,5.09051
510.0,-4.636566,5.127813
520.0,-4.636566,5.061181
530.0,-4.636566,5.1394963
540.0,-4.636566,5.078776
550.0,-4.636566,5.0936613
560.0,-4.636566,5.1131897
570.0,-4.636566,5.086108
580.0,-4.636566,5.1017685
590.0,-4.636566,5.1130652
600.0,-4.636566,5.092292
610.0,-4.636566,5.110638
620.0,-4.636566,5.0914316
630.0,-4.636566,5.0968475
640.0,-4.636566,5.068111
650.0,-4.636566,5.0843844
660.0,-4.636566,5.0770254
670.0,-4.636566,5.080231
680.0,-4.636566,5.0927105
690.0,-4.636566,5.0898495
700.0,-4.636566,5.085429
710.0,-4.636566,5.0914116
720.0,-4.636566,5.1055994
730.0,-4.636566,5.102541
740.0,-4.636566,5.0852757
750.0,-4.636566,5.091328
760.0,-4.636566,5.0981903
770.0,-4.636566,5.0935745
780.0,-4.636566,5.087009
790.0,-4.636566,5.0668025
800.0,-4.636566,5.094203
810.0,-4.636566,5.1005716
820.0,-4.636566,5.1080127
830.0,-4.636566,5.1172237
840.0,-4.3260555,5.0499477
850.0,-4.3260555,5.0481358
860.0,-4.3260555,5.1065264
870.0,-4.3260555,5.098866
880.0,-4.3260555,5.076764
890.0,-4.3260555,5.1077194
900.0,-4.3260555,5.1155806
910.0,-4.3260555,5.085432
920.0,-4.3260555,5.111861
930.0,-4.1120214,5.0841002
940.0,-4.1120214,5.1110754
950.0,-4.1120214,5.095167
960.0,-4.1120214,5.100643
970.0,-4.1120214,5.0981503
980.0,-4.1120214,5.070938
990.0,-4.1120214,5.0967975
1000.0,-4.1120214,5.07831
1010.0,-4.1120214,5.1174355
1020.0,-4.1120214,5.1211195
1030.0,-4.1120214,5.1295424
1040.0,-4.1120214,5.101759
1050.0,-3.9027297,5.095107
1060.0,-3.9027297,5.1195836
1070.0,-3.9027297,5.0930386
1080.0,-3.9027297,5.176938
1090.0,-3.9027297,5.130497
1100.0,-3.9027297,5.123043
1110.0,-3.9027297,5.1075835
1120.0,-3.9027297,5.1500874
1130.0,-3.9027297,5.1213307
1140.0,-3.9027297,5.1114926
1150.0,-3.9027297,5.09649
1160.0,-3.9027297,5.121635
1170.0,-3.9027297,5.1043434
1180.0,-3.9027297,5.093254
1190.0,-3.9027297,5.1421013
1200.0,-3.9027297,5.119569
1210.0,-3.9027297,5.1193323
1220.0,-3.9027297,5.098643
1230.0,-3.9027297,5.1120896
1240.0,-3.9027297,5.0759754
1250.0,-3.9027297,5.121928
1260.0,-3.9027297,5.117005
1270.0,-3.9027297,5.1372466
1280.0,-3.9027297,5.1306963
1290.0,-3.9027297,5.0998564
1300.0,-3.9027297,5.1058493
1310.0,-3.9027297,5.0991335
1320.0,-3.9027297,5.0626545
1330.0,-3.9027297,5.050415
1340.0,-3.9027297,5.0632486
1350.0,-3.9027297,5.0476027
1360.0,-3.9027297,5.067445
1370.0,-3.9027297,5.068827
1380.0,-3.9027297,5.0783887
1390.0,-3.9027297,5.0822587
1400.0,-3.9027297,5.061204
1410.0,-3.9027297,5.0836735
1420.0,-3.9027297,5.072846
1430.0,-3.9027297,5.067378
1440.0,-3.9027297,5.086817
1450.0,-3.9027297,5.124694
1460.0,-3.9027297,5.121553
1470.0,-3.9027297,5.0447106
1480.0,-3.9027297,5.092619
1490.0,-3.9027297,5.0690837
1500.0,-3.9027297,5.0676146
