iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5
0,0.3,0.0,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
1,0.3,5.5260961055755615,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
2,0.3,5.547285795211792,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
3,0.3,5.446249723434448,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
4,0.3,8.330845832824707,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
5,0.3,5.603354215621948,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
6,0.3,5.535384893417358,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
7,0.3,5.602696418762207,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
8,0.3,5.604112863540649,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
9,0.3,5.574049711227417,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
10,0.3,5.476467132568359,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
11,0.3,5.5521240234375,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
12,0.3,5.545040607452393,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
13,0.3,5.5465192794799805,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
14,0.3,5.4908342361450195,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
15,0.3,5.5762670040130615,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
16,0.3,5.5593767166137695,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
17,0.3,5.413762807846069,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
18,0.3,5.489490985870361,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
19,0.3,5.5883424282073975,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
20,0.3,5.447365760803223,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
21,0.3,5.497269153594971,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074,0.4074074
