iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2
0,-0.030851722,0.0,2.106257,1.2332346,1.1287528
1,-0.0005390644,5.4512083530426025,2.185426,1.1933001,1.1503569
2,-0.0005389452,5.332262754440308,2.185426,1.1933001,1.1503569
3,-9.405613e-05,5.244046926498413,2.1579072,1.2020025,1.1492375
4,-9.405613e-05,5.398662567138672,2.1579072,1.2020025,1.1492375
5,-9.381771e-05,5.569967985153198,2.1579072,1.2020025,1.1492375
6,-9.417534e-05,5.459578275680542,2.1579072,1.2020025,1.1492375
7,-9.405613e-05,5.422655344009399,2.1579072,1.2020025,1.1492375
8,-9.393692e-05,5.345838785171509,2.1579072,1.2020025,1.1492375
9,-6.937981e-05,5.5372185707092285,2.1506922,1.2043109,1.1491503
10,-6.9737434e-05,5.174678087234497,2.1506922,1.2043109,1.1491503
11,-6.9618225e-05,5.435862302780151,2.1506922,1.2043109,1.1491503
12,-6.92606e-05,5.515090227127075,2.1506922,1.2043109,1.1491503
13,0.004847288,5.456836700439453,2.144915,1.2048508,1.0634598
14,0.004847288,5.4409403800964355,2.144915,1.2048508,1.0634598
15,0.004847288,5.37184739112854,2.144915,1.2048508,1.0634598
16,0.0048472285,5.3530662059783936,2.144915,1.2048508,1.0634598
17,0.0048472285,5.403154373168945,2.144915,1.2048508,1.0634598
18,0.0048475266,5.394403696060181,2.144915,1.2048508,1.0634598
19,0.0048474073,5.378922939300537,2.144915,1.2048508,1.0634598
20,0.0048472285,5.4266602993011475,2.144915,1.2048508,1.0634598
21,0.0048474073,5.472947359085083,2.144915,1.2048508,1.0634598
22,0.0048474073,5.497494697570801,2.144915,1.2048508,1.0634598
23,0.018921733,5.62726092338562,2.2398882,1.1670904,1.0523828
24,0.018921733,5.4701831340789795,2.2398882,1.1670904,1.0523828
25,0.018921733,5.46768593788147,2.2398882,1.1670904,1.0523828
26,0.018921733,5.43489408493042,2.2398882,1.1670904,1.0523828
27,0.018921494,13.730784893035889,2.2398882,1.1670904,1.0523828
28,0.018921614,5.2823545932769775,2.2398882,1.1670904,1.0523828
29,0.018921614,5.424823045730591,2.2398882,1.1670904,1.0523828
30,0.018921494,5.4972004890441895,2.2398882,1.1670904,1.0523828
31,0.026970506,5.48557186126709,2.1302948,1.1996053,1.0148655
32,0.028729975,5.535664319992065,2.1767273,1.1843566,1.0001994
