iteration,max_fitness,time
0.0,464.46466,0.0
10.0,1055.2495,29.151112
20.0,1110.4324,23.121069
30.0,1110.4324,23.236618
40.0,1131.8589,23.527792
50.0,1132.9086,23.413887
60.0,1132.9086,23.40894
70.0,1148.6477,23.422384
80.0,1226.2238,23.592978
90.0,1226.2238,23.429317
100.0,1226.2238,23.442009
110.0,1226.2238,23.438034
120.0,1233.1335,23.24791
130.0,1233.1335,23.275894
140.0,1233.1335,23.638666
150.0,1233.1335,23.253523
160.0,1253.2024,23.532946
170.0,1253.2024,23.475092
180.0,1257.6628,23.094435
190.0,1259.8365,23.10461
200.0,1259.8365,23.54922
210.0,1259.8365,23.432173
220.0,1267.5964,23.29185
230.0,1267.5964,23.075985
240.0,1267.5964,23.266647
250.0,1267.5964,23.446426
260.0,1267.5964,23.505423
270.0,1281.0198,23.21036
280.0,1281.0198,23.155872
290.0,1281.0198,23.38632
300.0,1281.0198,23.400658
310.0,1281.0198,22.885832
320.0,1281.0198,23.26978
330.0,1281.0198,23.425459
340.0,1281.0198,23.329054
350.0,1281.0198,24.10121
360.0,1281.0198,23.27604
370.0,1281.0198,23.485651
380.0,1281.0198,23.519531
390.0,1281.0198,23.08743
400.0,1281.0198,23.51959
410.0,1281.0198,23.021156
420.0,1281.0198,23.82078
430.0,1281.0198,23.28613
440.0,1281.0198,23.418026
450.0,1281.0198,23.282879
460.0,1281.0198,23.097122
470.0,1281.0198,23.270735
480.0,1281.0198,23.538618
490.0,1281.0198,23.625347
500.0,1281.0198,23.61667
510.0,1281.0198,23.2434
520.0,1281.0198,23.666574
530.0,1281.0198,23.346144
540.0,1281.0198,23.709066
550.0,1281.5826,23.387236
560.0,1281.5826,23.117615
570.0,1281.5826,23.3736
580.0,1281.5826,23.752802
590.0,1281.5826,23.435362
600.0,1281.5826,23.244965
610.0,1281.5826,23.269987
620.0,1281.5826,23.306581
630.0,1281.5826,23.221523
640.0,1281.5826,23.29316
650.0,1281.5826,23.640285
660.0,1281.5826,23.96667
670.0,1281.5826,23.075182
680.0,1281.5826,23.164484
690.0,1281.5826,23.25434
700.0,1281.5826,23.70994
710.0,1281.5826,23.251099
720.0,1281.5826,23.468761
730.0,1281.5826,23.256207
740.0,1281.5826,23.598747
750.0,1281.5826,22.854912
760.0,1281.5826,22.966175
770.0,1281.5826,23.214737
780.0,1281.5826,23.332642
790.0,1281.5826,23.266758
800.0,1281.5826,23.402689
810.0,1281.5826,23.233345
820.0,1281.5826,23.701088
830.0,1281.5826,23.31153
840.0,1281.5826,23.24314
850.0,1281.5826,23.516266
860.0,1281.5826,23.46825
870.0,1281.5826,23.587376
880.0,1281.5826,23.044725
890.0,1281.5826,23.828325
900.0,1281.5826,23.10459
910.0,1281.5826,23.288227
920.0,1281.5826,23.771152
930.0,1281.5826,22.626165
940.0,1281.5826,23.44451
950.0,1281.5826,22.853443
960.0,1281.5826,23.113209
970.0,1281.5826,23.055363
980.0,1281.5826,23.142939
990.0,1281.5826,23.75447
1000.0,1281.5826,23.113367
1010.0,1281.5826,23.636993
1020.0,1281.5826,23.462807
1030.0,1292.5566,23.180817
1040.0,1292.5566,23.365517
1050.0,1292.5566,23.37806
1060.0,1292.5566,23.419056
1070.0,1292.5566,23.518337
1080.0,1292.5566,23.266386
1090.0,1292.5566,23.480894
1100.0,1292.5566,23.110903
1110.0,1292.5566,23.467642
1120.0,1292.5566,23.83061
1130.0,1292.5566,23.818089
1140.0,1292.5566,23.664589
1150.0,1292.5566,23.280554
1160.0,1292.5566,23.62521
1170.0,1292.5566,23.200377
1180.0,1292.5566,23.431671
1190.0,1292.5566,23.23008
1200.0,1292.5566,23.771362
1210.0,1292.5566,23.591532
1220.0,1292.5566,23.896482
1230.0,1292.5566,23.146992
1240.0,1292.5566,23.72333
1250.0,1292.5566,23.347527
1260.0,1292.5566,23.134518
1270.0,1292.5566,23.23178
1280.0,1292.5566,22.911348
1290.0,1292.5566,23.493341
1300.0,1292.5566,23.342411
1310.0,1292.5566,23.316814
1320.0,1292.5566,23.102663
1330.0,1292.5566,23.258383
1340.0,1292.5566,23.39847
1350.0,1292.5566,23.454838
1360.0,1292.5566,23.067307
1370.0,1292.5566,22.97404
1380.0,1292.5566,23.045597
1390.0,1292.5566,23.85691
1400.0,1292.5566,23.518162
1410.0,1292.5566,23.479351
1420.0,1292.5566,23.24226
1430.0,1292.5566,23.221933
1440.0,1292.5566,23.370327
1450.0,1292.5566,23.691444
1460.0,1292.5566,23.853657
1470.0,1292.5566,23.33498
1480.0,1292.5566,23.028532
1490.0,1328.1938,23.458794
1500.0,1328.1938,23.613407
