,action_0,action_1,cumulative_reward
0,-0.044433057,0.8210372,95.01836
1,-0.016375864,0.86813915,95.01836
2,0.047951214,0.9254016,95.01836
3,0.12934731,0.9536288,95.01836
4,0.21870914,0.9634139,95.01836
5,0.309721,0.960898,95.01836
6,0.39789024,0.94215286,95.01836
7,0.47999388,0.88252825,95.01836
8,0.55328,0.689196,95.01836
9,0.61372566,0.11642489,95.01836
10,0.65239084,-0.70240945,95.01836
11,0.6585821,-0.9749191,95.01836
12,0.6332188,-0.998724,95.01836
13,0.5855255,-0.9999324,95.01836
14,0.5217854,-0.99999547,95.01836
15,0.44496566,-0.9999997,95.01836
16,0.3570601,-1.0,95.01836
17,0.2600975,-1.0,95.01836
18,0.15643792,-1.0,95.01836
19,0.048751455,-1.0,95.01836
20,-0.06015256,-1.0,95.01836
21,-0.1675462,-1.0,95.01836
22,-0.27098846,-1.0,95.01836
23,-0.36847693,-1.0,95.01836
24,-0.4585263,-1.0,95.01836
25,-0.54018456,-1.0,95.01836
26,-0.6129951,-1.0,95.01836
27,-0.67692673,-1.0,95.01836
28,-0.7322865,-1.0,95.01836
29,-0.77962756,-0.9999989,95.01836
30,-0.8196618,-0.99998903,95.01836
31,-0.85318494,-0.99987656,95.01836
32,-0.88101417,-0.9983745,95.01836
33,-0.9039363,-0.9759659,95.01836
34,-0.9225926,-0.6611561,95.01836
35,-0.9365048,0.6169874,95.01836
36,-0.9413148,0.9893324,95.01836
37,-0.9357056,0.999867,95.01836
38,-0.9258348,0.9999978,95.01836
39,-0.9118674,1.0,95.01836
40,-0.8934299,1.0,95.01836
41,-0.86985445,1.0,95.01836
42,-0.8402994,1.0,95.01836
43,-0.8038234,1.0,95.01836
44,-0.75945765,1.0,95.01836
45,-0.7063019,1.0,95.01836
46,-0.643643,1.0,95.01836
47,-0.5710933,1.0,95.01836
48,-0.4887277,1.0,95.01836
49,-0.39719245,1.0,95.01836
50,-0.29775396,1.0,95.01836
51,-0.20089747,1.0,95.01836
52,-0.11217911,1.0,95.01836
53,0.00029171188,1.0,95.01836
54,0.11660047,1.0,95.01836
55,0.22866015,1.0,95.01836
56,0.33319277,1.0,95.01836
57,0.42881972,1.0,95.01836
58,0.51498103,1.0,95.01836
59,0.59155434,1.0,95.01836
60,0.6587239,1.0,95.01836
61,0.7169148,1.0,95.01836
62,0.76673865,1.0,95.01836
63,0.8089376,1.0,95.01836
64,0.8443267,1.0,95.01836
65,0.8737441,1.0,95.01836
66,0.89800805,1.0,95.01836
67,0.9178876,1.0,95.01836
68,0.9340823,1.0,95.01836
69,0.9416382,1.0,95.01836
70,0.9384598,1.0,95.01836
71,0.9413559,0.9999968,95.01836
72,0.9411752,0.999904,95.01836
73,0.94107246,0.9974378,95.01836
74,0.9410142,0.9388158,95.01836
75,0.9408527,0.14056155,95.01836
76,0.9409051,-0.8892054,95.01836
77,0.9387909,-0.9958745,95.01836
78,0.9310248,-0.9998982,95.01836
79,0.91857886,-0.99999744,95.01836
80,0.9016618,-1.0,95.01836
81,0.87982965,-1.0,95.01836
82,0.85233617,-1.0,95.01836
83,0.81827885,-1.0,95.01836
84,0.7766904,-1.0,95.01836
85,0.72663313,-1.0,95.01836
86,0.6673102,-1.0,95.01836
87,0.5982004,-1.0,95.01836
88,0.51919895,-1.0,95.01836
89,0.43073964,-1.0,95.01836
90,0.3338668,-1.0,95.01836
91,0.23023048,-1.0,95.01836
92,0.121987134,-1.0,95.01836
93,0.011620439,-1.0,95.01836
94,-0.09693711,-1.0,95.01836
95,-0.1960185,-1.0,95.01836
96,-0.2986541,-1.0,95.01836
97,-0.39633244,-1.0,95.01836
98,-0.48570848,-1.0,95.01836
99,-0.5657237,-1.0,95.01836
100,-0.6362454,-1.0,95.01836
101,-0.6975791,-1.0,95.01836
102,-0.7502819,-1.0,95.01836
103,-0.7950682,-1.0,95.01836
104,-0.8327429,-1.0,95.01836
105,-0.86414766,-1.0,95.01836
106,-0.89011514,-1.0,95.01836
107,-0.91143614,-1.0,95.01836
108,-0.92883676,-1.0,95.01836
109,-0.9426625,-1.0,95.01836
110,-0.93788165,-1.0,95.01836
111,-0.9411915,-0.9999985,95.01836
112,-0.9401225,-0.9999492,95.01836
113,-0.94068503,-0.9987101,95.01836
114,-0.94082785,-0.9689692,95.01836
115,-0.9409354,-0.46272215,95.01836
116,-0.9408547,0.79043424,95.01836
117,-0.93781376,0.99243915,95.01836
118,-0.92965484,0.99981004,95.01836
119,-0.9168092,0.9999952,95.01836
120,-0.89942324,1.0,95.01836
121,-0.87703556,1.0,95.01836
122,-0.8488887,1.0,95.01836
123,-0.81407344,1.0,95.01836
124,-0.7716235,1.0,95.01836
125,-0.72061175,1.0,95.01836
126,-0.6602656,1.0,95.01836
127,-0.5901026,1.0,95.01836
128,-0.51006985,1.0,95.01836
129,-0.42066386,1.0,95.01836
130,-0.32299456,1.0,95.01836
131,-0.21877062,1.0,95.01836
132,-0.11019182,1.0,95.01836
133,0.00023785925,1.0,95.01836
134,0.10993803,1.0,95.01836
135,0.21647638,1.0,95.01836
136,0.31775248,1.0,95.01836
137,0.4121149,1.0,95.01836
138,0.49841264,1.0,95.01836
139,0.57598734,1.0,95.01836
140,0.6446242,1.0,95.01836
141,0.7044773,1.0,95.01836
142,0.7559856,1.0,95.01836
143,0.79978645,1.0,95.01836
144,0.83663785,1.0,95.01836
145,0.867351,1.0,95.01836
146,0.8927384,1.0,95.01836
147,0.91357493,1.0,95.01836
148,0.93057334,1.0,95.01836
149,0.9429025,1.0,95.01836
150,0.9384227,1.0,95.01836
151,0.94178116,0.9999985,95.01836
152,0.94065386,0.9999485,95.01836
153,0.9408141,0.9986416,95.01836
154,0.9410013,0.9677732,95.01836
155,0.9409307,0.43983608,95.01836
156,0.9408434,-0.8003601,95.01836
157,0.9376469,-0.99291307,95.01836
158,0.9293465,-0.99982214,95.01836
159,0.91637236,-0.9999954,95.01836
160,0.8988478,-1.0,95.01836
161,0.87630063,-1.0,95.01836
162,0.84796643,-1.0,95.01836
163,0.81293255,-1.0,95.01836
164,0.7702323,-1.0,95.01836
165,0.7189406,-1.0,95.01836
166,0.6582913,-1.0,95.01836
167,0.5878128,-1.0,95.01836
168,0.507468,-1.0,95.01836
169,0.41777194,-1.0,95.01836
170,0.31985557,-1.0,95.01836
171,0.21544647,-1.0,95.01836
172,0.10675764,-1.0,95.01836
173,-0.0036996994,-1.0,95.01836
174,-0.11334543,-1.0,95.01836
175,-0.21975511,-1.0,95.01836
176,-0.32084113,-1.0,95.01836
177,-0.41496754,-1.0,95.01836
178,-0.50100005,-1.0,95.01836
179,-0.578295,-1.0,95.01836
180,-0.64665097,-1.0,95.01836
181,-0.70623285,-1.0,95.01836
182,-0.757487,-1.0,95.01836
183,-0.80105597,-1.0,95.01836
184,-0.8377004,-1.0,95.01836
185,-0.86823213,-1.0,95.01836
186,-0.89346343,-1.0,95.01836
187,-0.91416746,-1.0,95.01836
188,-0.9310548,-1.0,95.01836
189,-0.9429171,-1.0,95.01836
190,-0.93807703,-1.0,95.01836
191,-0.94176185,-0.9999982,95.01836
192,-0.9405226,-0.9999388,95.01836
193,-0.9405925,-0.998368,95.01836
194,-0.940727,-0.961124,95.01836
195,-0.9408933,-0.37256017,95.01836
196,-0.940883,0.82574636,95.01836
197,-0.9389943,0.9931373,95.01836
198,-0.9315931,0.9998277,95.01836
199,-0.91944534,0.99999577,95.01836
200,-0.90282744,1.0,95.01836
201,-0.8813307,1.0,95.01836
202,-0.8542258,1.0,95.01836
203,-0.8206188,1.0,95.01836
204,-0.7795453,1.0,95.01836
205,-0.7300633,1.0,95.01836
