iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13
0,-0.0010824203,0.0,0.9891915,1.000041,1.0537342,1.0547068,1.001445,1.0930464,1.1532834,1.0223523,1.1012809,0.9974596,1.0087416,1.0296232,0.9954541,0.9972321
1,-0.0010825396,1.2963149547576904,0.9891915,1.000041,1.0537342,1.0547068,1.001445,1.0930464,1.1532834,1.0223523,1.1012809,0.9974596,1.0087416,1.0296232,0.9954541,0.9972321
2,-0.00034844875,1.20283842086792,0.9884698,0.99970716,1.060829,1.0608585,1.0026897,1.0880809,1.1668944,1.0264716,1.0969937,0.996997,1.0069656,1.0352653,0.9965547,0.99803615
3,-0.00010788441,1.322679042816162,0.988149,0.99958974,1.0651282,1.0645641,1.0035857,1.0852545,1.174998,1.028996,1.0945437,0.99680465,1.0060261,1.0387248,0.9973063,0.99858916
4,-0.000108003616,1.2798354625701904,0.988149,0.99958974,1.0651282,1.0645641,1.0035857,1.0852545,1.174998,1.028996,1.0945437,0.99680465,1.0060261,1.0387248,0.9973063,0.99858916
5,-0.000108122826,1.2882308959960938,0.988149,0.99958974,1.0651282,1.0645641,1.0035857,1.0852545,1.174998,1.028996,1.0945437,0.99680465,1.0060261,1.0387248,0.9973063,0.99858916
6,-0.000108003616,1.3228676319122314,0.988149,0.99958974,1.0651282,1.0645641,1.0035857,1.0852545,1.174998,1.028996,1.0945437,0.99680465,1.0060261,1.0387248,0.9973063,0.99858916
7,-0.000108122826,1.2703843116760254,0.988149,0.99958974,1.0651282,1.0645641,1.0035857,1.0852545,1.174998,1.028996,1.0945437,0.99680465,1.0060261,1.0387248,0.9973063,0.99858916
8,-0.000108122826,1.3578052520751953,0.988149,0.99958974,1.0651282,1.0645641,1.0035857,1.0852545,1.174998,1.028996,1.0945437,0.99680465,1.0060261,1.0387248,0.9973063,0.99858916
9,2.9802322e-07,1.2957549095153809,0.98783696,0.9995205,1.0709761,1.0695819,1.0049559,1.0816035,1.1858673,1.0324603,1.0913674,0.99663687,1.004894,1.0434738,0.9984192,0.999412
10,3.5762787e-07,1.2212693691253662,0.98786265,0.9995231,1.0703791,1.0690708,1.0048085,1.0819666,1.1847655,1.0321052,1.0916839,0.9966494,1.0050023,1.042987,0.99830115,0.9993245
11,2.9802322e-07,1.2228312492370605,0.98786265,0.9995231,1.0703791,1.0690708,1.0048085,1.0819666,1.1847655,1.0321052,1.0916839,0.9966494,1.0050023,1.042987,0.99830115,0.9993245
12,3.5762787e-07,1.3074204921722412,0.98786265,0.9995231,1.0703791,1.0690708,1.0048085,1.0819666,1.1847655,1.0321052,1.0916839,0.9966494,1.0050023,1.042987,0.99830115,0.9993245
13,4.7683716e-07,1.3273530006408691,0.98783696,0.9995205,1.0709761,1.0695819,1.0049559,1.0816035,1.1858673,1.0324603,1.0913674,0.99663687,1.004894,1.0434738,0.9984192,0.999412
14,2.9802322e-07,1.2671992778778076,0.98783696,0.9995205,1.0709761,1.0695819,1.0049559,1.0816035,1.1858673,1.0324603,1.0913674,0.99663687,1.004894,1.0434738,0.9984192,0.999412
15,3.5762787e-07,1.299551010131836,0.98783696,0.9995205,1.0709761,1.0695819,1.0049559,1.0816035,1.1858673,1.0324603,1.0913674,0.99663687,1.004894,1.0434738,0.9984192,0.999412
16,2.9802322e-07,1.4407455921173096,0.98783696,0.9995205,1.0709761,1.0695819,1.0049559,1.0816035,1.1858673,1.0324603,1.0913674,0.99663687,1.004894,1.0434738,0.9984192,0.999412
