iteration,max_fitness,time,rrmse_0,rrmse_1
0,0.2435137,0.0,0.9854456,0.82081944
1,0.2435137,5.199218988418579,0.9854456,0.82081944
2,0.24351364,5.264556169509888,0.9854456,0.82081944
3,0.24351364,5.186146259307861,0.9854456,0.82081944
4,0.24351364,5.253767251968384,0.9854456,0.82081944
5,0.24351364,5.256466627120972,0.9854456,0.82081944
6,0.24351376,5.39021897315979,0.9854456,0.82081944
7,0.24351388,5.241498231887817,0.9854456,0.82081944
8,0.2435137,5.205626010894775,0.9854456,0.82081944
9,0.2435137,5.109672784805298,0.9854456,0.82081944
10,0.2435137,5.382364511489868,0.9854456,0.82081944
11,0.28721452,5.58566951751709,0.93699336,0.82412505
12,0.2951606,5.369420051574707,0.9274407,0.8337753
13,0.2951606,5.376929521560669,0.9274407,0.8337753
14,0.29529917,5.334621429443359,0.9271903,0.8354166
15,0.29529917,5.355487823486328,0.9271903,0.8354166
16,0.29529923,5.255953073501587,0.9271903,0.8354166
17,0.2952991,5.305420160293579,0.9271903,0.8354166
18,0.29529917,5.364499092102051,0.9271903,0.8354166
19,0.2953025,5.374390125274658,0.92716736,0.8357536
20,0.29530263,5.337377309799194,0.92716736,0.8357536
21,0.29530263,5.351010322570801,0.92716736,0.8357536
22,0.29530263,5.3581273555755615,0.92716736,0.8357536
23,0.29530263,5.324022531509399,0.92716736,0.8357536
24,0.2953028,5.230420827865601,0.9271689,0.83572555
25,0.2953027,5.191004037857056,0.9271689,0.83572555
26,0.29530275,5.3330042362213135,0.9271689,0.83572555
27,0.2953028,5.436821937561035,0.9271689,0.83572555
28,0.2953027,5.25836706161499,0.9271689,0.83572555
29,0.29530275,5.152750730514526,0.9271689,0.83572555
30,0.2953027,5.22070050239563,0.9271689,0.83572555
31,0.2953027,5.280930042266846,0.9271689,0.83572555
32,0.29530275,5.1565892696380615,0.9271689,0.83572555
33,0.2953027,5.201844930648804,0.9271689,0.83572555
34,0.2953027,5.178743124008179,0.9271689,0.83572555
35,0.29530287,5.371681213378906,0.92716736,0.8357536
36,0.2953027,5.125956296920776,0.92716736,0.8357536
37,0.29530263,5.203827381134033,0.92716765,0.8357473
38,0.29530275,5.389019012451172,0.92716765,0.8357473
39,0.29530275,5.330676078796387,0.92716765,0.8357473
40,0.2953027,5.3536224365234375,0.92716765,0.8357473
41,0.29530275,5.243878364562988,0.92716765,0.8357473
42,0.29530287,5.184026718139648,0.9271689,0.83572555
43,0.2953027,5.202519416809082,0.92716765,0.8357473
44,0.29530275,5.239382266998291,0.92716765,0.8357473
45,0.2953027,9.524248600006104,0.9271689,0.83572555
46,0.29530275,5.260355710983276,0.9271689,0.83572555
47,0.29530275,5.368145942687988,0.92716765,0.8357473
48,0.29530263,5.140290260314941,0.92716765,0.8357473
49,0.2953028,5.2553887367248535,0.92716765,0.8357473
50,0.29530275,5.280721664428711,0.92716765,0.8357473
51,0.29530257,5.16450309753418,0.92716765,0.8357473
52,0.29530275,5.205820560455322,0.92716765,0.8357473
53,0.29530275,5.300764799118042,0.92716765,0.8357473
54,0.2953027,5.230973958969116,0.92716765,0.8357473
55,0.29530263,5.290372133255005,0.92716765,0.8357473
56,0.29530275,5.270770311355591,0.92716765,0.8357473
57,0.29530287,5.410731554031372,0.9271689,0.83572555
58,0.29530257,5.229869604110718,0.92716765,0.8357473
59,0.29530275,5.256831884384155,0.92716765,0.8357473
60,0.29530275,5.26397967338562,0.9271689,0.83572555
61,0.29530257,5.280222415924072,0.9271689,0.83572555
62,0.29530263,5.269094228744507,0.9271689,0.83572555
63,0.2953028,5.264049291610718,0.92716765,0.8357473
64,0.29530287,5.126427173614502,0.92716765,0.8357473
65,0.29530275,5.411925554275513,0.9271689,0.83572555
66,0.29530275,5.125603437423706,0.9271689,0.83572555
67,0.29530275,5.068617820739746,0.92716765,0.8357473
68,0.29530287,5.339013576507568,0.92716765,0.8357473
69,0.2953028,5.141314744949341,0.92716765,0.8357473
70,0.29530263,5.383747816085815,0.92716765,0.8357473
71,0.29530287,5.034154891967773,0.92716765,0.8357473
72,0.29530275,5.253721714019775,0.92716765,0.8357473
73,0.29530275,5.330905199050903,0.92716765,0.8357473
74,0.29530287,5.1282384395599365,0.92716765,0.8357473
75,0.2953027,5.238776206970215,0.92716765,0.8357473
76,0.2953028,5.298084259033203,0.92716765,0.8357473
77,0.2953027,5.341027021408081,0.92716765,0.8357473
78,0.29530275,5.338266372680664,0.92716765,0.8357473
79,0.2953027,5.303781509399414,0.92716765,0.8357473
80,0.29530275,5.441245079040527,0.92716765,0.8357473
81,0.2953028,5.1881678104400635,0.9271689,0.83572555
82,0.2953027,5.290329456329346,0.92716765,0.8357473
83,0.2953027,5.1854002475738525,0.92716765,0.8357473
84,0.29530275,5.287128686904907,0.92716765,0.8357473
85,0.2953027,5.259066820144653,0.92716765,0.8357473
86,0.29530275,5.375897169113159,0.9271689,0.83572555
87,0.29530263,5.367089033126831,0.9271689,0.83572555
88,0.29530257,5.31731915473938,0.9271689,0.83572555
89,0.2953027,5.188768625259399,0.92716765,0.8357473
90,0.2953027,5.227567434310913,0.92716765,0.8357473
91,0.2953027,5.353187322616577,0.92716736,0.8357536
92,0.29530263,5.248713970184326,0.9271689,0.83572555
93,0.29530275,5.1536171436309814,0.9271689,0.83572555
94,0.29530275,5.353364944458008,0.92716765,0.8357473
95,0.2953027,5.337342262268066,0.92716765,0.8357473
