,action_0,action_1,cumulative_reward
0,-0.090407066,0.0,-199.68008
1,-0.09398956,0.0,-199.68008
2,-0.10237331,0.0,-199.68008
3,-0.11356134,0.0,-199.68008
4,-0.1264603,0.0,-199.68008
5,-0.14042723,0.0,-199.68008
6,-0.15527925,0.0,-199.68008
7,-0.1711408,0.0,-199.68008
8,-0.18827222,0.0,-199.68008
9,-0.20694534,0.0,-199.68008
10,-0.22737904,0.0,-199.68008
11,-0.24972005,0.0,-199.68008
12,-0.2740463,0.0,-199.68008
13,-0.3003745,0.0,-199.68008
14,-0.3286603,0.0,-199.68008
15,-0.3587895,0.0,-199.68008
16,-0.39056095,0.0,-199.68008
17,-0.42366612,0.0,-199.68008
18,-0.45767114,0.0,-199.68008
19,-0.49200746,0.0,-199.68008
20,-0.52597296,0.0,-199.68008
21,-0.5587485,0.0,-199.68008
22,-0.58942455,0.0,-199.68008
23,-0.6170339,0.0,-199.68008
24,-0.640571,0.0,-199.68008
25,-0.6589866,0.0,-199.68008
26,-0.6711312,0.0,-199.68008
27,-0.6756294,0.0,-199.68008
28,-0.6706626,0.0,-199.68008
29,-0.65364754,0.0,-199.68008
30,-0.620811,0.0,-199.68008
31,-0.5667882,0.0,-199.68008
32,-0.48464498,0.0,-199.68008
33,-0.36735067,0.0,-199.68008
34,-0.2121238,0.0,-199.68008
35,-0.027218549,0.0,-199.68008
36,0.16507389,0.0,-199.68008
37,0.33711523,0.0,-199.68008
38,0.47076705,0.0,-199.68008
39,0.5629712,0.0,-199.68008
40,0.62005633,0.0,-199.68008
41,0.65050054,0.0,-199.68008
42,0.6614267,0.0,-199.68008
43,0.65800506,0.0,-199.68008
44,0.6439086,0.0,-199.68008
45,0.62185806,0.0,-199.68008
46,0.5939894,0.0,-199.68008
47,0.5620516,0.0,-199.68008
48,0.52750623,0.0,-199.68008
49,0.49158362,0.0,-199.68008
50,0.455317,0.0,-199.68008
51,0.41956338,0.0,-199.68008
52,0.38501006,0.0,-199.68008
53,0.3521748,0.0,-199.68008
54,0.32140848,0.0,-199.68008
55,0.29290664,0.0,-199.68008
56,0.26673272,0.0,-199.68008
57,0.24284947,0.0,-199.68008
58,0.22115114,0.0,-199.68008
59,0.20149298,0.0,-199.68008
60,0.1837131,0.0,-199.68008
61,0.16764718,0.0,-199.68008
62,0.1531378,0.0,-199.68008
63,0.14003608,0.0,-199.68008
64,0.12820528,0.0,-199.68008
65,0.11751877,0.0,-199.68008
66,0.107860655,0.0,-199.68008
67,0.09912544,0.0,-199.68008
68,0.09121665,0.0,-199.68008
69,0.08404827,0.0,-199.68008
70,0.077543,0.0,-199.68008
71,0.07163196,0.0,-199.68008
72,0.0662531,0.0,-199.68008
73,0.061353713,0.0,-199.68008
74,0.05688508,0.0,-199.68008
75,0.05280357,0.0,-199.68008
76,0.04907195,0.0,-199.68008
77,0.045655485,0.0,-199.68008
78,0.042523816,0.0,-199.68008
79,0.0396492,0.0,-199.68008
80,0.037008267,0.0,-199.68008
81,0.034578126,0.0,-199.68008
82,0.032340072,0.0,-199.68008
83,0.03027764,0.0,-199.68008
84,0.028373642,0.0,-199.68008
85,0.026614645,0.0,-199.68008
86,0.024987968,0.0,-199.68008
87,0.023482481,0.0,-199.68008
88,0.022087378,0.0,-199.68008
89,0.020793254,0.0,-199.68008
90,0.01959263,0.0,-199.68008
91,0.018477762,0.0,-199.68008
92,0.01744059,0.0,-199.68008
93,0.016475083,0.0,-199.68008
94,0.015575429,0.0,-199.68008
95,0.014735725,0.0,-199.68008
96,0.013953147,0.0,-199.68008
97,0.013222383,0.0,-199.68008
98,0.012539955,0.0,-199.68008
99,0.0119022885,0.0,-199.68008
100,0.01130625,0.0,-199.68008
101,0.010747872,0.0,-199.68008
102,0.010224462,0.0,-199.68008
103,0.009733822,0.0,-199.68008
104,0.009273839,0.0,-199.68008
105,0.008841721,0.0,-199.68008
106,0.00843641,0.0,-199.68008
107,0.008055512,0.0,-199.68008
108,0.0076970467,0.0,-199.68008
109,0.007360115,0.0,-199.68008
110,0.00704283,0.0,-199.68008
111,0.0067449287,0.0,-199.68008
112,0.006462889,0.0,-199.68008
113,0.0061975396,0.0,-199.68008
114,0.005946952,0.0,-199.68008
115,0.0057114046,0.0,-199.68008
116,0.005487513,0.0,-199.68008
