n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
3,2,3,2,2,3,5,1,3,3,5,4,0.5789473684210527,0.36,26,10,ga_chemical_2_competition_adam_wfn_0,0,_wfn,adam,chemical_2_competition
4,3,8,0,2,3,2,2,1,4,1,3,0.631578947368421,0.33,18,15,ga_chemical_2_competition_adam_win_0,0,_win,adam,chemical_2_competition
3,2,3,2,2,3,5,1,3,3,5,4,0.5789473684210527,0.36,26,10,ga_chemical_2_competition_adam_wfn_bfn_0,0,_wfn_bfn,adam,chemical_2_competition
4,3,8,0,2,3,2,2,1,4,1,3,0.631578947368421,0.33,18,15,ga_chemical_2_competition_adam_win_bfn_0,0,_win_bfn,adam,chemical_2_competition
3,2,3,2,2,3,5,1,3,3,5,4,0.5789473684210527,0.36,26,10,ga_chemical_2_competition_adam_wfn_bin_0,0,_wfn_bin,adam,chemical_2_competition
4,3,8,0,2,3,2,2,1,4,1,3,0.631578947368421,0.33,18,15,ga_chemical_2_competition_adam_win_bin_0,0,_win_bin,adam,chemical_2_competition
3,7,0,5,3,0,3,4,2,6,3,4,0.543859649122807,0.4,25,15,ga_chemical_2_competition_gaussian_wfn_0,0,_wfn,gaussian,chemical_2_competition
8,3,4,4,2,3,2,0,4,2,3,2,0.631578947368421,0.37,18,19,ga_chemical_2_competition_gaussian_win_0,0,_win,gaussian,chemical_2_competition
3,7,0,5,3,0,3,4,2,6,3,4,0.543859649122807,0.4,25,15,ga_chemical_2_competition_gaussian_wfn_bfn_0,0,_wfn_bfn,gaussian,chemical_2_competition
8,3,4,4,2,3,2,0,4,2,3,2,0.631578947368421,0.37,18,19,ga_chemical_2_competition_gaussian_win_bfn_0,0,_win_bfn,gaussian,chemical_2_competition
3,7,0,5,3,0,3,4,2,6,3,4,0.543859649122807,0.4,25,15,ga_chemical_2_competition_gaussian_wfn_bin_0,0,_wfn_bin,gaussian,chemical_2_competition
8,3,4,4,2,3,2,0,4,2,3,2,0.631578947368421,0.37,18,19,ga_chemical_2_competition_gaussian_win_bin_0,0,_win_bin,gaussian,chemical_2_competition
4,2,4,2,4,2,5,2,4,6,2,3,0.5614035087719298,0.4,28,12,ga_chemical_2_competition_gaussian_0,0,,gaussian,chemical_2_competition
6,5,5,4,2,4,2,2,2,3,2,3,0.5087719298245614,0.4,20,20,ga_chemical_2_competition_adam_wfn_1,1,_wfn,adam,chemical_2_competition
2,4,2,1,3,6,5,5,5,2,2,2,0.42105263157894735,0.39,30,9,ga_chemical_2_competition_adam_win_1,1,_win,adam,chemical_2_competition
6,5,5,4,2,4,2,2,2,3,2,3,0.5087719298245614,0.4,20,20,ga_chemical_2_competition_adam_wfn_bfn_1,1,_wfn_bfn,adam,chemical_2_competition
2,4,2,1,3,6,5,5,5,2,2,2,0.42105263157894735,0.39,30,9,ga_chemical_2_competition_adam_win_bfn_1,1,_win_bfn,adam,chemical_2_competition
6,5,5,4,2,4,2,2,2,3,2,3,0.5087719298245614,0.4,20,20,ga_chemical_2_competition_adam_wfn_bin_1,1,_wfn_bin,adam,chemical_2_competition
