iteration,max_fitness,time,test_accuracy
0,-0.33421826,0.0,-0.5769756
1,-0.0031536818,1.482961654663086,[-0.11344683]
2,-0.0031536818,1.4633877277374268,[-0.11344683]
3,-0.0003902912,1.4622650146484375,[-0.15009212]
4,-0.0003902912,1.4640538692474365,[-0.15009212]
5,-0.0001603365,1.4622724056243896,[-0.13381505]
6,-0.0001603365,1.4574522972106934,[-0.13381505]
7,0.53915095,1.4605967998504639,[0.45121378]
8,0.53915095,1.4601738452911377,[0.45121378]
9,0.53915095,1.4649147987365723,[0.45121378]
10,0.53915095,1.4551475048065186,[0.45121378]
11,0.53915095,1.4543416500091553,[0.45121378]
12,0.53915095,1.45900297164917,[0.45121378]
13,0.53915095,1.4514977931976318,[0.45121378]
14,0.53915095,1.4570512771606445,[0.45121378]
15,0.53915095,1.4633657932281494,[0.45121378]
16,0.53915095,1.4663856029510498,[0.45121378]
17,0.53915095,1.4603431224822998,[0.45121378]
18,0.53915095,1.4602692127227783,[0.45121378]
19,0.53975165,1.461751937866211,[0.42125505]
20,0.53975165,1.4573426246643066,[0.42125505]
21,0.53975165,1.4572813510894775,[0.42125505]
22,0.53975165,1.464735984802246,[0.42125505]
23,0.53975165,1.4621388912200928,[0.42125505]
24,0.53975165,1.4584414958953857,[0.42125505]
25,0.53975165,1.4447522163391113,[0.42125505]
26,0.53975165,1.465111255645752,[0.42125505]
27,0.53975165,1.4775726795196533,[0.42125505]
28,0.53975165,1.4767067432403564,[0.42125505]
29,0.53975177,14.768555641174316,[0.42125607]
30,0.53975177,1.4601187705993652,[0.42125607]
31,0.53975177,1.4822359085083008,[0.42125607]
32,0.53975177,1.4806251525878906,[0.42125607]
33,0.53975177,1.4758155345916748,[0.42125607]
34,0.53975177,1.500006914138794,[0.42125607]
35,0.53975177,1.465423345565796,[0.42125607]
36,0.53975177,1.465127944946289,[0.42125607]
37,0.53975177,1.459118366241455,[0.42125607]
38,0.53975177,1.4492766857147217,[0.42125607]
39,0.53975177,1.4425740242004395,[0.42125607]
40,0.53975177,1.4485723972320557,[0.42125607]
41,0.53975177,1.4646129608154297,[0.42125607]
42,0.53975177,1.4730520248413086,[0.42125607]
43,0.53975177,1.4696495532989502,[0.42125607]
44,0.53975177,1.4644739627838135,[0.42125607]
45,0.53975177,1.4592859745025635,[0.42125607]
46,0.53975177,1.460981845855713,[0.42125607]
47,0.5403901,1.4575905799865723,[0.43425936]
48,0.5403901,1.4631915092468262,[0.43425936]
49,0.5403901,1.4659438133239746,[0.43425936]
50,0.5403901,1.4708261489868164,[0.43425936]
51,0.5403901,1.466385841369629,[0.43425936]
52,0.5403901,1.464643955230713,[0.43425936]
53,0.5403901,1.4780323505401611,[0.43425936]
54,0.5403901,1.4854421615600586,[0.43425936]
55,0.5403901,1.476250410079956,[0.43425936]
56,0.5403901,1.4643149375915527,[0.43425936]
57,0.5403901,1.470719337463379,[0.43425936]
58,0.5403901,1.4742934703826904,[0.43425936]
59,0.5403901,1.472421407699585,[0.43425936]
60,0.94286144,1.4690604209899902,[0.85756135]
61,0.94286144,1.4681379795074463,[0.85756135]
62,0.94286144,1.471297264099121,[0.85756135]
63,0.94286144,1.479156732559204,[0.85756135]
64,0.94286144,1.4635086059570312,[0.85756135]
65,0.94286144,1.4680671691894531,[0.85756135]
66,0.94286233,1.4676215648651123,[0.8547607]
67,0.94286233,1.4653828144073486,[0.8547607]
68,0.94286233,1.477935791015625,[0.8547607]
69,0.99588823,1.4770255088806152,[0.98755485]
70,0.99825615,1.4693021774291992,[0.99482054]
71,0.99825615,1.4734163284301758,[0.99482054]
72,0.99825615,1.4865381717681885,[0.99482054]
73,0.99825615,1.4802327156066895,[0.99482054]
74,0.9990987,1.4795639514923096,[0.9896974]
75,0.9990987,1.4780709743499756,[0.9896974]
76,0.9991047,1.4857699871063232,[0.98924625]
77,0.9991047,1.4719231128692627,[0.98924625]
78,0.9991047,1.461677074432373,[0.98924625]
79,0.9991047,1.4752023220062256,[0.98924625]
80,0.9991047,1.4783110618591309,[0.98924625]
81,0.9991047,1.469001054763794,[0.98924625]
82,0.9991047,1.4755783081054688,[0.98924625]
83,0.9995887,1.4748528003692627,[0.9975942]
84,0.9996217,1.472059726715088,[0.99751866]
85,0.9997494,1.4709293842315674,[0.9965992]
86,0.9997494,1.4662747383117676,[0.9965992]
87,0.9997494,1.4701719284057617,[0.9965992]
88,0.9997494,1.4645893573760986,[0.9965992]
89,0.9997494,1.4683797359466553,[0.9965992]
90,0.9997494,1.4765214920043945,[0.9965992]
91,0.9997494,1.4715898036956787,[0.9965992]
92,0.9997494,1.469285011291504,[0.9965992]
93,0.9997494,1.4579696655273438,[0.9965992]
94,0.9997494,1.483691692352295,[0.9965992]
95,0.9997494,1.4723093509674072,[0.9965992]
96,0.9997494,1.4692368507385254,[0.9965992]
97,0.9997494,1.469447374343872,[0.9965992]
98,0.9997494,1.4643919467926025,[0.9965992]
99,0.9997494,1.4826807975769043,[0.9965992]
