n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
5,6,7,4,3,4,2,4,6,6,3,2,1.0,0.52,30,22,ga2_nasa_battery_1_10min_adam_wfn_0,0,_wfn,adam,nasa_battery_1_10min
3,8,5,3,5,2,6,5,5,4,4,6,1.0,0.56,37,19,ga2_nasa_battery_1_10min_adam_win_0,0,_win,adam,nasa_battery_1_10min
5,6,7,4,3,4,2,4,6,6,3,2,1.0,0.52,30,22,ga2_nasa_battery_1_10min_adam_wfn_bfn_0,0,_wfn_bfn,adam,nasa_battery_1_10min
3,8,5,3,5,2,6,5,5,4,4,6,1.0,0.56,37,19,ga2_nasa_battery_1_10min_adam_win_bfn_0,0,_win_bfn,adam,nasa_battery_1_10min
5,6,7,4,3,4,2,4,6,6,3,2,1.0,0.52,30,22,ga2_nasa_battery_1_10min_adam_wfn_bin_0,0,_wfn_bin,adam,nasa_battery_1_10min
3,8,5,3,5,2,6,5,5,4,4,6,1.0,0.56,37,19,ga2_nasa_battery_1_10min_adam_win_bin_0,0,_win_bin,adam,nasa_battery_1_10min
5,5,8,3,6,4,2,4,2,6,7,2,1.0,0.54,33,21,ga2_nasa_battery_1_10min_gaussian_wfn_0,0,_wfn,gaussian,nasa_battery_1_10min
7,2,5,0,5,5,5,2,4,5,7,5,1.0,0.52,38,14,ga2_nasa_battery_1_10min_gaussian_win_0,0,_win,gaussian,nasa_battery_1_10min
5,5,8,3,6,4,2,4,2,6,7,2,1.0,0.54,33,21,ga2_nasa_battery_1_10min_gaussian_wfn_bfn_0,0,_wfn_bfn,gaussian,nasa_battery_1_10min
7,2,5,0,5,5,5,2,4,5,7,5,1.0,0.52,38,14,ga2_nasa_battery_1_10min_gaussian_win_bfn_0,0,_win_bfn,gaussian,nasa_battery_1_10min
5,5,8,3,6,4,2,4,2,6,7,2,1.0,0.54,33,21,ga2_nasa_battery_1_10min_gaussian_wfn_bin_0,0,_wfn_bin,gaussian,nasa_battery_1_10min
7,2,5,0,5,5,5,2,4,5,7,5,1.0,0.52,38,14,ga2_nasa_battery_1_10min_gaussian_win_bin_0,0,_win_bin,gaussian,nasa_battery_1_10min
8,6,10,4,2,8,1,4,2,5,4,2,1.0,0.56,28,28,ga2_nasa_battery_1_10min_gaussian_0,0,,gaussian,nasa_battery_1_10min
7,6,3,5,4,5,4,4,1,5,2,2,1.0,0.48,27,21,ga2_nasa_battery_1_10min_adam_wfn_1,1,_wfn,adam,nasa_battery_1_10min
5,3,3,6,5,7,6,4,4,3,8,5,1.0,0.59,42,17,ga2_nasa_battery_1_10min_adam_win_1,1,_win,adam,nasa_battery_1_10min
7,6,3,5,4,5,4,4,1,5,2,2,1.0,0.48,27,21,ga2_nasa_battery_1_10min_adam_wfn_bfn_1,1,_wfn_bfn,adam,nasa_battery_1_10min
5,3,3,6,5,7,6,4,4,3,8,5,1.0,0.59,42,17,ga2_nasa_battery_1_10min_adam_win_bfn_1,1,_win_bfn,adam,nasa_battery_1_10min
7,6,3,5,4,5,4,4,1,5,2,2,1.0,0.48,27,21,ga2_nasa_battery_1_10min_adam_wfn_bin_1,1,_wfn_bin,adam,nasa_battery_1_10min
5,3,3,6,5,7,6,4,4,3,8,5,1.0,0.59,42,17,ga2_nasa_battery_1_10min_adam_win_bin_1,1,_win_bin,adam,nasa_battery_1_10min
3,2,9,5,6,1,6,1,3,1,7,9,1.0,0.53,34,19,ga2_nasa_battery_1_10min_gaussian_wfn_1,1,_wfn,gaussian,nasa_battery_1_10min
6,4,3,3,4,1,8,3,4,6,4,3,1.0,0.49,33,16,ga2_nasa_battery_1_10min_gaussian_win_1,1,_win,gaussian,nasa_battery_1_10min
3,2,9,5,6,1,6,1,3,1,7,9,1.0,0.53,34,19,ga2_nasa_battery_1_10min_gaussian_wfn_bfn_1,1,_wfn_bfn,gaussian,nasa_battery_1_10min
6,4,3,3,4,1,8,3,4,6,4,3,1.0,0.49,33,16,ga2_nasa_battery_1_10min_gaussian_win_bfn_1,1,_win_bfn,gaussian,nasa_battery_1_10min
3,2,9,5,6,1,6,1,3,1,7,9,1.0,0.53,34,19,ga2_nasa_battery_1_10min_gaussian_wfn_bin_1,1,_wfn_bin,gaussian,nasa_battery_1_10min
6,4,3,3,4,1,8,3,4,6,4,3,1.0,0.49,33,16,ga2_nasa_battery_1_10min_gaussian_win_bin_1,1,_win_bin,gaussian,nasa_battery_1_10min
10,3,2,4,3,4,3,2,6,5,8,1,1.0,0.51,32,19,ga2_nasa_battery_1_10min_gaussian_1,1,,gaussian,nasa_battery_1_10min
9,3,7,1,3,4,5,1,1,10,3,3,0.8333333333333334,0.5,30,20,ga2_nasa_battery_1_10min_adam_wfn_2,2,_wfn,adam,nasa_battery_1_10min
4,7,5,5,2,2,5,7,1,5,8,4,1.0,0.55,34,21,ga2_nasa_battery_1_10min_adam_win_2,2,_win,adam,nasa_battery_1_10min
9,3,7,1,3,4,5,1,1,10,3,3,0.8333333333333334,0.5,30,20,ga2_nasa_battery_1_10min_adam_wfn_bfn_2,2,_wfn_bfn,adam,nasa_battery_1_10min
4,7,5,5,2,2,5,7,1,5,8,4,1.0,0.55,34,21,ga2_nasa_battery_1_10min_adam_win_bfn_2,2,_win_bfn,adam,nasa_battery_1_10min
9,3,7,1,3,4,5,1,1,10,3,3,0.8333333333333334,0.5,30,20,ga2_nasa_battery_1_10min_adam_wfn_bin_2,2,_wfn_bin,adam,nasa_battery_1_10min
4,7,5,5,2,2,5,7,1,5,8,4,1.0,0.55,34,21,ga2_nasa_battery_1_10min_adam_win_bin_2,2,_win_bin,adam,nasa_battery_1_10min
6,3,9,3,6,5,3,4,1,6,2,3,1.0,0.51,30,21,ga2_nasa_battery_1_10min_gaussian_wfn_2,2,_wfn,gaussian,nasa_battery_1_10min
3,5,7,4,4,3,5,4,4,4,4,5,1.0,0.52,33,19,ga2_nasa_battery_1_10min_gaussian_win_2,2,_win,gaussian,nasa_battery_1_10min
6,3,9,3,6,5,3,4,1,6,2,3,1.0,0.51,30,21,ga2_nasa_battery_1_10min_gaussian_wfn_bfn_2,2,_wfn_bfn,gaussian,nasa_battery_1_10min
3,5,7,4,4,3,5,4,4,4,4,5,1.0,0.52,33,19,ga2_nasa_battery_1_10min_gaussian_win_bfn_2,2,_win_bfn,gaussian,nasa_battery_1_10min
6,3,9,3,6,5,3,4,1,6,2,3,1.0,0.51,30,21,ga2_nasa_battery_1_10min_gaussian_wfn_bin_2,2,_wfn_bin,gaussian,nasa_battery_1_10min
3,5,7,4,4,3,5,4,4,4,4,5,1.0,0.52,33,19,ga2_nasa_battery_1_10min_gaussian_win_bin_2,2,_win_bin,gaussian,nasa_battery_1_10min
8,4,5,10,2,5,4,4,6,5,1,3,1.0,0.57,30,27,ga2_nasa_battery_1_10min_gaussian_2,2,,gaussian,nasa_battery_1_10min
6,5,4,5,6,2,7,3,4,5,7,1,1.0,0.55,35,20,ga2_nasa_battery_1_10min_adam_wfn_3,3,_wfn,adam,nasa_battery_1_10min
2,5,6,5,2,6,6,2,2,8,5,3,1.0,0.52,34,18,ga2_nasa_battery_1_10min_adam_win_3,3,_win,adam,nasa_battery_1_10min
6,5,4,5,6,2,7,3,4,5,7,1,1.0,0.55,35,20,ga2_nasa_battery_1_10min_adam_wfn_bfn_3,3,_wfn_bfn,adam,nasa_battery_1_10min
2,5,6,5,2,6,6,2,2,8,5,3,1.0,0.52,34,18,ga2_nasa_battery_1_10min_adam_win_bfn_3,3,_win_bfn,adam,nasa_battery_1_10min
6,5,4,5,6,2,7,3,4,5,7,1,1.0,0.55,35,20,ga2_nasa_battery_1_10min_adam_wfn_bin_3,3,_wfn_bin,adam,nasa_battery_1_10min
2,5,6,5,2,6,6,2,2,8,5,3,1.0,0.52,34,18,ga2_nasa_battery_1_10min_adam_win_bin_3,3,_win_bin,adam,nasa_battery_1_10min
4,2,4,4,1,5,2,5,4,5,4,8,1.0,0.48,34,14,ga2_nasa_battery_1_10min_gaussian_wfn_3,3,_wfn,gaussian,nasa_battery_1_10min
4,3,4,6,6,6,1,0,7,6,3,4,1.0,0.5,33,17,ga2_nasa_battery_1_10min_gaussian_win_3,3,_win,gaussian,nasa_battery_1_10min
4,2,4,4,1,5,2,5,4,5,4,8,1.0,0.48,34,14,ga2_nasa_battery_1_10min_gaussian_wfn_bfn_3,3,_wfn_bfn,gaussian,nasa_battery_1_10min
4,3,4,6,6,6,1,0,7,6,3,4,1.0,0.5,33,17,ga2_nasa_battery_1_10min_gaussian_win_bfn_3,3,_win_bfn,gaussian,nasa_battery_1_10min
4,2,4,4,1,5,2,5,4,5,4,8,1.0,0.48,34,14,ga2_nasa_battery_1_10min_gaussian_wfn_bin_3,3,_wfn_bin,gaussian,nasa_battery_1_10min
4,3,4,6,6,6,1,0,7,6,3,4,1.0,0.5,33,17,ga2_nasa_battery_1_10min_gaussian_win_bin_3,3,_win_bin,gaussian,nasa_battery_1_10min
4,6,7,6,6,4,4,1,3,2,3,8,1.0,0.54,31,23,ga2_nasa_battery_1_10min_gaussian_3,3,,gaussian,nasa_battery_1_10min
5,9,6,5,4,3,0,4,4,4,3,8,1.0,0.55,30,25,ga2_nasa_battery_1_10min_adam_wfn_4,4,_wfn,adam,nasa_battery_1_10min
5,3,3,8,1,3,2,7,4,8,5,3,1.0,0.52,33,19,ga2_nasa_battery_1_10min_adam_win_4,4,_win,adam,nasa_battery_1_10min
5,9,6,5,4,3,0,4,4,4,3,8,1.0,0.55,30,25,ga2_nasa_battery_1_10min_adam_wfn_bfn_4,4,_wfn_bfn,adam,nasa_battery_1_10min
