n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
4,8,5,6,4,4,2,1,6,1,2,3,0.96,0.46,23,23,ga2_chemical_1_tower_gaussian_wfn_bfn_2,2,_wfn_bfn,gaussian,chemical_1_tower
4,3,6,3,4,4,4,6,4,5,2,1,0.8,0.46,30,16,ga2_chemical_1_tower_gaussian_win_bfn_2,2,_win_bfn,gaussian,chemical_1_tower
4,8,5,6,4,4,2,1,6,1,2,3,0.96,0.46,23,23,ga2_chemical_1_tower_gaussian_wfn_bin_2,2,_wfn_bin,gaussian,chemical_1_tower
4,3,6,3,4,4,4,6,4,5,2,1,0.8,0.46,30,16,ga2_chemical_1_tower_gaussian_win_bin_2,2,_win_bin,gaussian,chemical_1_tower
8,5,6,4,0,5,2,7,1,1,4,4,0.88,0.47,24,23,ga2_chemical_1_tower_gaussian_2,2,,gaussian,chemical_1_tower
6,2,3,1,1,4,5,2,2,2,4,2,0.8,0.34,22,12,ga2_chemical_1_tower_adam_wfn_3,3,_wfn,adam,chemical_1_tower
7,6,2,4,0,4,5,4,4,2,3,4,0.92,0.45,26,19,ga2_chemical_1_tower_adam_win_3,3,_win,adam,chemical_1_tower
6,2,3,1,1,4,5,2,2,2,4,2,0.8,0.34,22,12,ga2_chemical_1_tower_adam_wfn_bfn_3,3,_wfn_bfn,adam,chemical_1_tower
7,6,2,4,0,4,5,4,4,2,3,4,0.92,0.45,26,19,ga2_chemical_1_tower_adam_win_bfn_3,3,_win_bfn,adam,chemical_1_tower
6,2,3,1,1,4,5,2,2,2,4,2,0.8,0.34,22,12,ga2_chemical_1_tower_adam_wfn_bin_3,3,_wfn_bin,adam,chemical_1_tower
7,6,2,4,0,4,5,4,4,2,3,4,0.92,0.45,26,19,ga2_chemical_1_tower_adam_win_bin_3,3,_win_bin,adam,chemical_1_tower
8,4,5,2,4,0,6,2,2,3,2,4,0.72,0.42,23,19,ga2_chemical_1_tower_gaussian_wfn_3,3,_wfn,gaussian,chemical_1_tower
7,5,6,3,7,4,4,0,3,4,5,3,0.88,0.51,30,21,ga2_chemical_1_tower_gaussian_win_3,3,_win,gaussian,chemical_1_tower
8,4,5,2,4,0,6,2,2,3,2,4,0.72,0.42,23,19,ga2_chemical_1_tower_gaussian_wfn_bfn_3,3,_wfn_bfn,gaussian,chemical_1_tower
7,5,6,3,7,4,4,0,3,4,5,3,0.88,0.51,30,21,ga2_chemical_1_tower_gaussian_win_bfn_3,3,_win_bfn,gaussian,chemical_1_tower
8,4,5,2,4,0,6,2,2,3,2,4,0.72,0.42,23,19,ga2_chemical_1_tower_gaussian_wfn_bin_3,3,_wfn_bin,gaussian,chemical_1_tower
7,5,6,3,7,4,4,0,3,4,5,3,0.88,0.51,30,21,ga2_chemical_1_tower_gaussian_win_bin_3,3,_win_bin,gaussian,chemical_1_tower
9,8,7,1,2,2,3,3,8,2,0,3,0.88,0.48,23,25,ga2_chemical_1_tower_gaussian_3,3,,gaussian,chemical_1_tower
