iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5
0,0.29375002,0.0,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
1,0.29375002,0.9835977554321289,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
2,0.29375002,1.04948091506958,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
3,0.29375002,2.9052374362945557,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
4,0.29375002,0.9423825740814209,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
5,0.29375002,1.0168871879577637,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
6,0.29375002,0.9537537097930908,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
7,0.29375002,0.9390568733215332,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
8,0.29375002,0.9699482917785645,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
9,0.29375002,0.9275162220001221,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
10,0.29375002,1.0176949501037598,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
11,0.29375002,0.979442834854126,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
12,0.29375002,1.088622808456421,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
13,0.29375002,0.9904303550720215,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
14,0.29375002,1.0697715282440186,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
15,0.29375002,0.9483716487884521,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
16,0.29375002,0.9436898231506348,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
17,0.29375002,1.0467767715454102,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
18,0.29375002,1.0173580646514893,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
19,0.29375002,0.9594721794128418,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
20,0.29375002,1.040780782699585,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
21,0.29375002,0.9925165176391602,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
22,0.29375002,1.0312318801879883,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594,0.42592594
