iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
0,-0.0976094,0.0,1.5775293,1.2825434,1.2466387,1.0710462,1.2314289,1.3147563,1.2750715,1.3769441,1.5787963,1.2406954,1.2376776,0.9949313,1.2011491,1.2983861,1.2373009,1.3708354
1,-0.068072796,2.3355724811553955,1.57783,1.2817379,1.2469618,1.0709908,1.2302873,1.3142292,1.2747805,1.3761315,1.5794001,1.2406027,1.237861,0.9953094,1.2013357,1.2995073,1.2378719,1.3700997
2,-0.07575083,2.1126222610473633,1.5788479,1.2823873,1.2474543,1.0708282,1.231367,1.3148179,1.2750142,1.3766419,1.5794276,1.2406385,1.2380931,0.9953168,1.2015319,1.2984927,1.2376031,1.3709147
3,-0.072987795,2.000440835952759,1.5772454,1.2816248,1.2465851,1.0710614,1.2298635,1.3144047,1.275019,1.3767633,1.5780975,1.239935,1.2371281,0.9952392,1.2018626,1.2995932,1.2384828,1.3716725
4,-0.06359553,1.8723769187927246,1.5788064,1.2826041,1.2473708,1.0710579,1.2314111,1.3147815,1.2746689,1.3769419,1.5794067,1.2405161,1.2378045,0.99482876,1.202014,1.2998239,1.2384382,1.3713492
5,-0.08314049,1.8466722965240479,1.5772513,1.2816554,1.2464674,1.0704219,1.2314167,1.3144251,1.2747347,1.3767352,1.5760452,1.2391411,1.2355818,0.99323267,1.2017032,1.299235,1.2384263,1.3716468
6,-0.12193477,2.0218756198883057,1.5788255,1.2826258,1.2474539,1.0705427,1.2291428,1.3095164,1.2710737,1.3724686,1.5794222,1.240203,1.2378147,0.99412704,1.2019295,1.2998313,1.2379808,1.3713852
7,-0.096079946,2.0377066135406494,1.5787992,1.2820736,1.2472168,1.0710632,1.2312741,1.314686,1.2750162,1.3766395,1.5794266,1.2406266,1.238085,0.99532074,1.2017181,1.2991495,1.2375983,1.371077
8,-0.112241864,1.875359058380127,1.5788834,1.2825341,1.2473254,1.071025,1.2314252,1.3146397,1.275068,1.3769497,1.5793558,1.2406951,1.2378101,0.99528223,1.2020477,1.2999796,1.2384832,1.3716451
9,-0.09134507,1.94427490234375,1.5750731,1.280892,1.2449414,1.0707434,1.2314075,1.3143462,1.2746708,1.3762863,1.5778943,1.2395856,1.2375802,0.9949751,1.2011878,1.29806,1.2378579,1.37125
10,-0.07042861,1.8586525917053223,1.5773641,1.2802982,1.2466434,1.0708852,1.2312918,1.3147564,1.2750801,1.3766358,1.5786765,1.2403761,1.2379649,0.99531925,1.2009523,1.2989395,1.2383399,1.3710817
11,-0.04396248,2.0075392723083496,1.5777645,1.2817876,1.2463375,1.0707935,1.2313945,1.3148203,1.2750536,1.376919,1.5788709,1.2404954,1.2379636,0.9951287,1.2020006,1.2995749,1.2382017,1.3713844
12,-0.084427,2.059990644454956,1.578632,1.2821906,1.2473745,1.0710723,1.2314339,1.3148204,1.2747943,1.3768464,1.579425,1.2406934,1.2381033,0.9953003,1.2018358,1.2993104,1.2384615,1.3712031
13,-0.06182003,1.9481258392333984,1.5765846,1.2812731,1.2462758,1.0707439,1.2314059,1.3148161,1.2748617,1.3769299,1.5781028,1.2391509,1.2380021,0.9952792,1.2011142,1.2975107,1.238089,1.3701035
14,-0.05639553,1.9005367755889893,1.5771409,1.2800714,1.2460214,1.0703309,1.2309003,1.3144346,1.2750838,1.3769313,1.5758932,1.238394,1.2359271,0.9944932,1.2007017,1.2985674,1.2383898,1.3713894
