iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5
0,0.0044541955,0.0,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
1,0.0044538975,0.862807035446167,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
2,0.0044543147,0.8077700138092041,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
3,0.0044541955,0.8421895503997803,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
4,0.0044538975,0.8164877891540527,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
5,0.0044541955,0.8590559959411621,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
6,0.0044543743,0.795172929763794,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
7,0.004454136,0.8050627708435059,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
8,0.0044540167,0.807725191116333,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
9,0.0044540167,0.8041763305664062,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
10,0.004454136,2.5696732997894287,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
11,0.0044541955,0.853499174118042,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
12,0.0044541955,0.8021128177642822,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
13,0.004453838,0.791327953338623,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
14,0.004453838,0.8527510166168213,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
15,0.0044540167,0.814852237701416,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
16,0.0044541955,0.806269645690918,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
17,0.0044540167,0.8252289295196533,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
18,0.0044540167,0.8127024173736572,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
19,0.0044541955,0.8330047130584717,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
20,0.0044543147,0.8352205753326416,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
21,0.004454136,0.8106372356414795,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
22,0.0044540167,0.8283123970031738,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
23,0.0044541955,0.8413403034210205,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
24,0.0044541955,0.8574509620666504,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
25,0.004454136,0.7787387371063232,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
26,0.004454136,0.8126034736633301,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
27,0.0044538975,0.8362398147583008,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
28,0.0044540167,0.8385088443756104,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
29,0.0044541955,0.7948122024536133,2.7123013,33.417774,5.281622,0.6140832,2.2352505,19.49425
30,0.004454136,0.8186829090118408,2.7123013,33.417774,5.281622,0.6140832,2.2352505,19.49425
31,0.0044541955,0.827324390411377,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
32,0.0044540167,0.8321425914764404,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
33,0.004453838,0.8401305675506592,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
34,0.0044543147,0.7927818298339844,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
35,0.0044543147,0.8066983222961426,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
36,0.0044538975,0.8069295883178711,2.7123017,33.417774,5.281622,0.614083,2.2352505,19.49425
37,0.0044540167,0.8161277770996094,2.7123013,33.417774,5.281622,0.6140832,2.2352505,19.49425
38,0.004454136,0.8455531597137451,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
39,0.004454136,0.813565731048584,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
40,0.004454136,0.8140249252319336,2.7123013,33.417774,5.28162,0.6140832,2.235251,19.49425
41,0.0044541955,0.8100593090057373,2.7123013,33.417767,5.281622,0.6140832,2.2352505,19.49425
