iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13
0,-0.00029575825,0.0,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
1,-0.00029563904,1.7345237731933594,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
2,-0.00029575825,1.3182101249694824,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
3,-0.00029575825,1.2992396354675293,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
4,-0.00029575825,1.3538246154785156,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
5,-0.00029575825,1.305680513381958,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
6,-0.00029575825,1.305706262588501,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
7,-0.00029575825,1.3019745349884033,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
8,-0.00029575825,1.2707760334014893,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
9,-0.00029575825,1.2095527648925781,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
10,-0.00029575825,1.2289042472839355,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
11,-0.00029563904,1.3225908279418945,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
12,-0.00029563904,1.2992174625396729,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
13,-0.00029563904,1.240976095199585,1.0130006,0.9999235,1.0181535,1.0933368,1.0036551,1.0964485,1.1013836,0.9971218,1.0870845,1.000234,1.0064064,1.1158954,0.9989522,0.99997145
14,0.00816679,1.2576868534088135,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
15,0.00816685,1.2838304042816162,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
16,0.00816685,1.3740906715393066,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
17,0.00816679,1.271859884262085,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
18,0.00816679,1.3212895393371582,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
19,0.00816685,1.2817447185516357,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
20,0.00816685,3.355703830718994,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
21,0.00816679,1.2412543296813965,0.99309486,1.0032732,1.0379014,1.1190075,1.021346,1.050373,1.1596972,0.99032027,1.0668693,1.0012293,1.0042269,1.2349663,1.0102658,0.9771237
