iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13
20,1.7881393e-07,5.5113348960876465,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
21,1.1920929e-07,5.444552421569824,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
22,1.1920929e-07,5.561142444610596,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
23,1.7881393e-07,5.651753902435303,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
24,0.0,5.5955445766448975,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
25,1.1920929e-07,5.66607928276062,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
26,1.1920929e-07,5.4707417488098145,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
27,1.7881393e-07,5.625178098678589,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
28,1.1920929e-07,5.59302830696106,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
29,1.1920929e-07,5.4905431270599365,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
30,1.1920929e-07,5.487521648406982,1.007633,0.9999585,1.055916,1.1022478,1.0060269,1.0690328,1.1106783,1.0039382,1.0873613,0.99679494,1.0088214,1.1024195,0.99713945,0.99998814
