iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
27,-0.07511902,9.197034358978271,1.5787783,1.2826366,1.2474557,1.0709522,1.2314337,1.3146793,1.2749821,1.3767412,1.5782723,1.2405871,1.2377168,0.99516404,1.2014533,1.299216,1.2379128,1.370771
28,-0.04872811,9.544456720352173,1.5786176,1.2826542,1.2470897,1.0710654,1.2314343,1.314819,1.2750773,1.3769329,1.578259,1.2404169,1.2366751,0.995176,1.2013614,1.2991886,1.2378091,1.3713633
29,-0.014004827,9.352843523025513,1.5718488,1.2789176,1.2439163,1.0697365,1.2285051,1.3135128,1.2739388,1.3748411,1.5766069,1.2384115,1.2365543,0.9945943,1.1960366,1.2909223,1.232619,1.3665425
30,-0.08291376,9.402984142303467,1.5761242,1.279404,1.2434946,1.0697174,1.2314259,1.3146583,1.2749829,1.3769423,1.5765021,1.2387743,1.235408,0.9923187,1.2019628,1.2986957,1.2384218,1.3710763
31,-0.06487155,9.562840461730957,1.5751567,1.2806475,1.2456071,1.0708854,1.227754,1.311829,1.2727246,1.3760177,1.5776718,1.2391391,1.2369483,0.9948097,1.2012652,1.2996371,1.2382703,1.3711325
32,-0.05172658,9.390640258789062,1.578455,1.2824037,1.2474582,1.070313,1.2314315,1.3145171,1.2735206,1.3762538,1.5771041,1.240014,1.2374922,0.99532175,1.2018282,1.2999917,1.2383288,1.3714703
33,-0.089425325,9.710382223129272,1.5784208,1.282413,1.2460451,1.0706344,1.2307373,1.3148011,1.274345,1.3763909,1.5763128,1.2392229,1.2355412,0.99330527,1.2002532,1.298803,1.235557,1.3685244
34,-0.06856775,9.399455308914185,1.5746399,1.279568,1.2442839,1.0695966,1.2310951,1.3144586,1.2746861,1.376409,1.5706066,1.2367455,1.2340274,0.99270236,1.2015733,1.2994529,1.2377363,1.3707528
35,-0.026042938,9.394533395767212,1.5718119,1.2734082,1.2412417,1.0678552,1.23072,1.3144424,1.2748814,1.3766979,1.5723648,1.2335068,1.2328742,0.99032986,1.1981736,1.2910048,1.2360371,1.369293
36,-0.047772646,9.402588844299316,1.5788867,1.2824017,1.2474082,1.071061,1.2306652,1.3145351,1.2750604,1.3769482,1.5786351,1.2403734,1.2379293,0.9948719,1.2010969,1.2984324,1.2384329,1.3715286
37,-0.07881343,9.486098766326904,1.5771594,1.2816112,1.246293,1.0710119,1.2314316,1.3142561,1.2739637,1.3764206,1.5766985,1.2393374,1.2372192,0.9946544,1.2019672,1.3000269,1.2384723,1.3716936
38,-0.061146617,9.361922979354858,1.5745519,1.2779058,1.2436161,1.0688035,1.2294708,1.3118646,1.2742126,1.3743631,1.5765798,1.2378742,1.2339258,0.99275005,1.1997178,1.295837,1.2345474,1.3663665
39,-0.063277006,9.510038614273071,1.5787479,1.2820499,1.2470896,1.0710475,1.2314285,1.3147873,1.2749829,1.3769464,1.5793651,1.2406518,1.2380486,0.9953218,1.2019771,1.3000145,1.2382104,1.3713529
40,-0.0430367,9.400357723236084,1.5774777,1.281849,1.2462584,1.0705142,1.2312309,1.3148097,1.2750808,1.3769279,1.578203,1.240243,1.2374592,0.9938191,1.201673,1.2991911,1.2377251,1.3702937
41,-0.07933259,9.251267433166504,1.5770907,1.2818514,1.2466997,1.071061,1.2313099,1.3143152,1.2744519,1.3761147,1.5787526,1.2405249,1.2376807,0.9952974,1.2010285,1.2990818,1.2377514,1.3708019
42,-0.04119742,9.19163990020752,1.5759321,1.2797542,1.2440851,1.0691277,1.2307826,1.3139517,1.2748832,1.3752967,1.5793141,1.2406534,1.2377852,0.9951045,1.1995031,1.2986504,1.2371132,1.369427
43,-0.0918504,9.390044212341309,1.5787226,1.2826524,1.247376,1.0709126,1.2313776,1.3140132,1.2748781,1.3766867,1.5785588,1.2405949,1.2370255,0.99520767,1.2019049,1.2999551,1.2384684,1.3716376
44,-0.07369721,9.167106866836548,1.5770799,1.2808143,1.2469245,1.0710717,1.2312804,1.3147364,1.2740613,1.3766012,1.576278,1.2375063,1.2377878,0.9939819,1.2019267,1.2988532,1.2381626,1.3716457
