iteration,max_fitness,time
0.0,-76.24907,0.0
10.0,-32.739902,19.229269
20.0,-22.465515,8.020426
30.0,-22.465515,8.034833
40.0,-22.465515,8.026979
50.0,-22.465515,8.030715
60.0,-22.465515,8.018982
70.0,-22.465515,8.059043
80.0,-22.465515,8.070643
90.0,-22.465515,8.007642
100.0,-22.465515,8.00124
110.0,-22.465515,7.9836445
120.0,-16.450325,7.9915805
130.0,-16.450325,7.9775643
140.0,-16.450325,8.021178
150.0,-16.450325,8.003075
160.0,-16.450325,8.03899
170.0,-16.450325,7.98007
180.0,-16.450325,8.002315
190.0,-16.450325,8.016109
200.0,-16.450325,7.9989114
210.0,-16.450325,7.986533
220.0,-16.450325,8.003973
230.0,-16.450325,8.004037
240.0,-16.450325,7.994858
250.0,-16.450325,8.011386
260.0,-16.450325,7.9904814
270.0,-16.450325,8.021954
280.0,-16.450325,8.007321
290.0,-16.450325,7.9890614
300.0,-16.450325,8.005438
310.0,-16.450325,7.9801426
320.0,-16.125214,7.987171
330.0,-16.125214,7.9883103
340.0,-16.125214,7.983027
350.0,-16.125214,7.9684343
360.0,-16.125214,8.01941
370.0,-16.125214,7.986867
380.0,-16.125214,7.978803
390.0,-16.125214,8.00677
400.0,-16.125214,8.0186
410.0,-16.125214,7.990528
420.0,-16.125214,8.006952
430.0,-16.125214,8.023372
440.0,-16.125214,7.988861
450.0,-16.125214,7.9967403
460.0,-16.125214,8.021755
470.0,-16.125214,7.9951477
480.0,-16.125214,8.010379
490.0,-16.125214,7.9665117
500.0,-16.125214,8.018806
510.0,-16.125214,7.9783907
520.0,-16.125214,7.980542
530.0,-16.125214,7.976144
540.0,-16.125214,8.0222845
550.0,-16.125214,7.9542017
560.0,-16.125214,7.962213
570.0,-16.125214,7.952609
580.0,-16.125214,7.9534235
590.0,-16.125214,7.9263625
600.0,-16.125214,7.940944
610.0,-16.125214,7.965914
620.0,-16.125214,7.977496
630.0,-16.125214,7.9196243
640.0,-16.125214,7.9370785
650.0,-16.125214,7.919806
660.0,-16.125214,7.929912
670.0,-16.125214,7.9255314
680.0,-16.125214,7.9133015
690.0,-14.50136,7.923847
700.0,-14.50136,7.943203
710.0,-14.50136,7.909722
720.0,-14.50136,7.9320345
730.0,-14.50136,7.9187155
740.0,-14.50136,7.934376
750.0,-14.50136,7.9019523
760.0,-14.50136,7.929966
770.0,-14.50136,7.8862834
780.0,-14.50136,7.9137554
790.0,-14.50136,7.9091015
800.0,-14.50136,7.936824
810.0,-14.50136,7.8873057
820.0,-14.50136,7.9049983
830.0,-14.50136,7.8885517
840.0,-14.50136,7.911969
850.0,-14.50136,7.903673
860.0,-14.50136,7.880041
870.0,-14.50136,7.8726673
880.0,-14.50136,7.8977475
890.0,-14.50136,7.895953
900.0,-14.50136,7.8974237
910.0,-14.50136,7.916164
920.0,-14.50136,7.953994
930.0,-13.706659,7.9060307
940.0,-11.850358,7.908119
950.0,-11.850358,7.978429
960.0,-11.850358,7.9694676
970.0,-11.850358,7.8975506
980.0,-11.850358,7.899663
990.0,-11.850358,7.9068613
1000.0,-4.694182,7.904769
1010.0,-4.694182,7.917556
1020.0,-4.694182,7.934305
1030.0,-4.694182,7.939956
1040.0,-4.694182,7.943012
1050.0,-4.694182,7.9626417
1060.0,-4.694182,7.9657106
1070.0,-4.694182,7.990118
1080.0,-4.694182,8.00876
1090.0,-4.694182,8.003909
1100.0,-4.694182,7.9814796
1110.0,-4.694182,7.997639
1120.0,-4.694182,8.0389
1130.0,-4.694182,7.968288
1140.0,-4.694182,8.022306
1150.0,-4.694182,8.030026
1160.0,-4.694182,8.003646
1170.0,-4.694182,8.017292
1180.0,-4.694182,8.057052
1190.0,-4.694182,8.003473
1200.0,-4.694182,8.004676
1210.0,-4.694182,8.01871
1220.0,-4.694182,8.017619
1230.0,-4.694182,8.002786
1240.0,-4.689175,8.019734
1250.0,-3.854422,8.032635
1260.0,-3.854422,8.073778
1270.0,-3.854422,8.076166
1280.0,-3.854422,8.0169735
1290.0,-3.854422,8.053179
1300.0,-3.854422,8.044472
1310.0,-3.854422,8.067883
1320.0,-3.854422,8.002779
1330.0,-3.854422,8.022713
1340.0,-3.854422,8.061635
1350.0,-3.854422,8.005535
1360.0,-3.854422,8.066499
1370.0,-3.854422,8.025558
1380.0,-3.854422,8.042816
1390.0,-3.854422,8.034563
1400.0,-3.854422,8.036812
1410.0,-3.854422,8.041286
1420.0,-2.9068341,8.097149
1430.0,-2.9068341,8.044746
1440.0,-2.9068341,8.021843
1450.0,-2.9068341,8.014863
1460.0,-2.9068341,8.028863
1470.0,-2.9068341,8.019782
1480.0,-2.9068341,8.029871
1490.0,-2.9068341,8.021991
1500.0,-2.9068341,8.044432
