n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
7,5,3,6,1,7,4,10,1,7,1,2,1.0,0.54,33,21,ga_flow_stress_phip0.1_adam_wfn_0,0,_wfn,adam,flow_stress_phip0.1
4,5,5,4,4,5,4,3,8,6,5,7,1.0,0.6,42,18,ga_flow_stress_phip0.1_adam_win_0,0,_win,adam,flow_stress_phip0.1
7,5,3,6,1,7,4,10,1,7,1,2,1.0,0.54,33,21,ga_flow_stress_phip0.1_adam_wfn_bfn_0,0,_wfn_bfn,adam,flow_stress_phip0.1
4,5,5,4,4,5,4,3,8,6,5,7,1.0,0.6,42,18,ga_flow_stress_phip0.1_adam_win_bfn_0,0,_win_bfn,adam,flow_stress_phip0.1
7,5,3,6,1,7,4,10,1,7,1,2,1.0,0.54,33,21,ga_flow_stress_phip0.1_adam_wfn_bin_0,0,_wfn_bin,adam,flow_stress_phip0.1
4,5,5,4,4,5,4,3,8,6,5,7,1.0,0.6,42,18,ga_flow_stress_phip0.1_adam_win_bin_0,0,_win_bin,adam,flow_stress_phip0.1
6,7,5,3,4,3,3,3,5,4,6,3,1.0,0.52,31,21,ga_flow_stress_phip0.1_gaussian_wfn_0,0,_wfn,gaussian,flow_stress_phip0.1
4,4,7,5,3,5,2,2,6,6,4,5,1.0,0.53,33,20,ga_flow_stress_phip0.1_gaussian_win_0,0,_win,gaussian,flow_stress_phip0.1
6,7,5,3,4,3,3,3,5,4,6,3,1.0,0.52,31,21,ga_flow_stress_phip0.1_gaussian_wfn_bfn_0,0,_wfn_bfn,gaussian,flow_stress_phip0.1
4,4,7,5,3,5,2,2,6,6,4,5,1.0,0.53,33,20,ga_flow_stress_phip0.1_gaussian_win_bfn_0,0,_win_bfn,gaussian,flow_stress_phip0.1
6,7,5,3,4,3,3,3,5,4,6,3,1.0,0.52,31,21,ga_flow_stress_phip0.1_gaussian_wfn_bin_0,0,_wfn_bin,gaussian,flow_stress_phip0.1
4,4,7,5,3,5,2,2,6,6,4,5,1.0,0.53,33,20,ga_flow_stress_phip0.1_gaussian_win_bin_0,0,_win_bin,gaussian,flow_stress_phip0.1
4,3,10,2,4,4,2,6,5,3,2,6,1.0,0.51,32,19,ga_flow_stress_phip0.1_gaussian_0,0,,gaussian,flow_stress_phip0.1
3,11,5,6,3,3,3,6,5,3,4,3,1.0,0.55,30,25,ga_flow_stress_phip0.1_adam_wfn_1,1,_wfn,adam,flow_stress_phip0.1
7,4,11,3,3,3,2,6,5,5,4,4,1.0,0.57,32,25,ga_flow_stress_phip0.1_adam_win_1,1,_win,adam,flow_stress_phip0.1
3,11,5,6,3,3,3,6,5,3,4,3,1.0,0.55,30,25,ga_flow_stress_phip0.1_adam_wfn_bfn_1,1,_wfn_bfn,adam,flow_stress_phip0.1
7,4,11,3,3,3,2,6,5,5,4,4,1.0,0.57,32,25,ga_flow_stress_phip0.1_adam_win_bfn_1,1,_win_bfn,adam,flow_stress_phip0.1
3,11,5,6,3,3,3,6,5,3,4,3,1.0,0.55,30,25,ga_flow_stress_phip0.1_adam_wfn_bin_1,1,_wfn_bin,adam,flow_stress_phip0.1
7,4,11,3,3,3,2,6,5,5,4,4,1.0,0.57,32,25,ga_flow_stress_phip0.1_adam_win_bin_1,1,_win_bin,adam,flow_stress_phip0.1
4,6,3,3,4,4,5,6,7,2,4,5,1.0,0.53,37,16,ga_flow_stress_phip0.1_gaussian_wfn_1,1,_wfn,gaussian,flow_stress_phip0.1
4,2,3,3,8,6,2,7,8,4,6,3,1.0,0.56,44,12,ga_flow_stress_phip0.1_gaussian_win_1,1,_win,gaussian,flow_stress_phip0.1
4,6,3,3,4,4,5,6,7,2,4,5,1.0,0.53,37,16,ga_flow_stress_phip0.1_gaussian_wfn_bfn_1,1,_wfn_bfn,gaussian,flow_stress_phip0.1
4,2,3,3,8,6,2,7,8,4,6,3,1.0,0.56,44,12,ga_flow_stress_phip0.1_gaussian_win_bfn_1,1,_win_bfn,gaussian,flow_stress_phip0.1
4,6,3,3,4,4,5,6,7,2,4,5,1.0,0.53,37,16,ga_flow_stress_phip0.1_gaussian_wfn_bin_1,1,_wfn_bin,gaussian,flow_stress_phip0.1
4,2,3,3,8,6,2,7,8,4,6,3,1.0,0.56,44,12,ga_flow_stress_phip0.1_gaussian_win_bin_1,1,_win_bin,gaussian,flow_stress_phip0.1
6,7,5,4,3,5,1,3,8,7,6,4,1.0,0.59,37,22,ga_flow_stress_phip0.1_gaussian_1,1,,gaussian,flow_stress_phip0.1
2,6,3,2,6,7,8,4,4,3,6,4,1.0,0.55,42,13,ga_flow_stress_phip0.1_adam_wfn_2,2,_wfn,adam,flow_stress_phip0.1
8,5,7,6,2,5,5,2,5,1,2,6,1.0,0.54,28,26,ga_flow_stress_phip0.1_adam_win_2,2,_win,adam,flow_stress_phip0.1
2,6,3,2,6,7,8,4,4,3,6,4,1.0,0.55,42,13,ga_flow_stress_phip0.1_adam_wfn_bfn_2,2,_wfn_bfn,adam,flow_stress_phip0.1
8,5,7,6,2,5,5,2,5,1,2,6,1.0,0.54,28,26,ga_flow_stress_phip0.1_adam_win_bfn_2,2,_win_bfn,adam,flow_stress_phip0.1
2,6,3,2,6,7,8,4,4,3,6,4,1.0,0.55,42,13,ga_flow_stress_phip0.1_adam_wfn_bin_2,2,_wfn_bin,adam,flow_stress_phip0.1
8,5,7,6,2,5,5,2,5,1,2,6,1.0,0.54,28,26,ga_flow_stress_phip0.1_adam_win_bin_2,2,_win_bin,adam,flow_stress_phip0.1
7,5,5,4,5,5,3,2,7,3,6,4,1.0,0.56,35,21,ga_flow_stress_phip0.1_gaussian_wfn_2,2,_wfn,gaussian,flow_stress_phip0.1
8,5,4,2,3,5,8,7,4,6,3,5,1.0,0.6,41,19,ga_flow_stress_phip0.1_gaussian_win_2,2,_win,gaussian,flow_stress_phip0.1
7,5,5,4,5,5,3,2,7,3,6,4,1.0,0.56,35,21,ga_flow_stress_phip0.1_gaussian_wfn_bfn_2,2,_wfn_bfn,gaussian,flow_stress_phip0.1
8,5,4,2,3,5,8,7,4,6,3,5,1.0,0.6,41,19,ga_flow_stress_phip0.1_gaussian_win_bfn_2,2,_win_bfn,gaussian,flow_stress_phip0.1
7,5,5,4,5,5,3,2,7,3,6,4,1.0,0.56,35,21,ga_flow_stress_phip0.1_gaussian_wfn_bin_2,2,_wfn_bin,gaussian,flow_stress_phip0.1
8,5,4,2,3,5,8,7,4,6,3,5,1.0,0.6,41,19,ga_flow_stress_phip0.1_gaussian_win_bin_2,2,_win_bin,gaussian,flow_stress_phip0.1
9,8,7,7,3,3,2,5,3,5,2,7,1.0,0.61,30,31,ga_flow_stress_phip0.1_gaussian_2,2,,gaussian,flow_stress_phip0.1
4,4,4,4,6,6,3,4,5,3,3,4,1.0,0.5,34,16,ga_flow_stress_phip0.1_adam_wfn_3,3,_wfn,adam,flow_stress_phip0.1
3,11,7,2,4,4,7,4,5,4,1,2,1.0,0.54,31,23,ga_flow_stress_phip0.1_adam_win_3,3,_win,adam,flow_stress_phip0.1
4,4,4,4,6,6,3,4,5,3,3,4,1.0,0.5,34,16,ga_flow_stress_phip0.1_adam_wfn_bfn_3,3,_wfn_bfn,adam,flow_stress_phip0.1
3,11,7,2,4,4,7,4,5,4,1,2,1.0,0.54,31,23,ga_flow_stress_phip0.1_adam_win_bfn_3,3,_win_bfn,adam,flow_stress_phip0.1
4,4,4,4,6,6,3,4,5,3,3,4,1.0,0.5,34,16,ga_flow_stress_phip0.1_adam_wfn_bin_3,3,_wfn_bin,adam,flow_stress_phip0.1
