n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
2,4,4,2,4,4,7,8,6,4,3,8,1.0,0.56,44,12,ga2_nikuradse_1_adam_wfn_0,0,_wfn,adam,nikuradse_1
5,4,5,7,6,2,2,9,9,3,2,5,1.0,0.59,38,21,ga2_nikuradse_1_adam_win_0,0,_win,adam,nikuradse_1
2,4,4,2,4,4,7,8,6,4,3,8,1.0,0.56,44,12,ga2_nikuradse_1_adam_wfn_bfn_0,0,_wfn_bfn,adam,nikuradse_1
5,4,5,7,6,2,2,9,9,3,2,5,1.0,0.59,38,21,ga2_nikuradse_1_adam_win_bfn_0,0,_win_bfn,adam,nikuradse_1
2,4,4,2,4,4,7,8,6,4,3,8,1.0,0.56,44,12,ga2_nikuradse_1_adam_wfn_bin_0,0,_wfn_bin,adam,nikuradse_1
5,4,5,7,6,2,2,9,9,3,2,5,1.0,0.59,38,21,ga2_nikuradse_1_adam_win_bin_0,0,_win_bin,adam,nikuradse_1
8,3,7,3,2,6,4,2,4,4,6,6,1.0,0.55,34,21,ga2_nikuradse_1_gaussian_wfn_0,0,_wfn,gaussian,nikuradse_1
4,4,3,4,3,7,2,5,2,4,8,5,1.0,0.51,36,15,ga2_nikuradse_1_gaussian_win_0,0,_win,gaussian,nikuradse_1
8,3,7,3,2,6,4,2,4,4,6,6,1.0,0.55,34,21,ga2_nikuradse_1_gaussian_wfn_bfn_0,0,_wfn_bfn,gaussian,nikuradse_1
4,4,3,4,3,7,2,5,2,4,8,5,1.0,0.51,36,15,ga2_nikuradse_1_gaussian_win_bfn_0,0,_win_bfn,gaussian,nikuradse_1
8,3,7,3,2,6,4,2,4,4,6,6,1.0,0.55,34,21,ga2_nikuradse_1_gaussian_wfn_bin_0,0,_wfn_bin,gaussian,nikuradse_1
4,4,3,4,3,7,2,5,2,4,8,5,1.0,0.51,36,15,ga2_nikuradse_1_gaussian_win_bin_0,0,_win_bin,gaussian,nikuradse_1
9,5,4,5,6,3,4,5,3,5,1,4,1.0,0.54,31,23,ga2_nikuradse_1_gaussian_0,0,,gaussian,nikuradse_1
6,4,5,4,2,7,7,1,6,6,4,6,1.0,0.58,39,19,ga2_nikuradse_1_adam_wfn_1,1,_wfn,adam,nikuradse_1
6,6,3,1,6,2,5,7,6,3,5,5,1.0,0.55,39,16,ga2_nikuradse_1_adam_win_1,1,_win,adam,nikuradse_1
6,4,5,4,2,7,7,1,6,6,4,6,1.0,0.58,39,19,ga2_nikuradse_1_adam_wfn_bfn_1,1,_wfn_bfn,adam,nikuradse_1
6,6,3,1,6,2,5,7,6,3,5,5,1.0,0.55,39,16,ga2_nikuradse_1_adam_win_bfn_1,1,_win_bfn,adam,nikuradse_1
6,4,5,4,2,7,7,1,6,6,4,6,1.0,0.58,39,19,ga2_nikuradse_1_adam_wfn_bin_1,1,_wfn_bin,adam,nikuradse_1
6,6,3,1,6,2,5,7,6,3,5,5,1.0,0.55,39,16,ga2_nikuradse_1_adam_win_bin_1,1,_win_bin,adam,nikuradse_1
3,4,4,3,3,7,4,6,6,5,2,6,1.0,0.53,39,14,ga2_nikuradse_1_gaussian_wfn_1,1,_wfn,gaussian,nikuradse_1
4,6,1,4,4,6,2,7,6,7,5,4,1.0,0.56,41,15,ga2_nikuradse_1_gaussian_win_1,1,_win,gaussian,nikuradse_1
