,action_0,action_1,action_2,action_3,action_4,action_5,cumulative_reward
0,0.74584275,0.30662385,0.0,-0.0017508426,0.0008593678,-0.0017508426,639.9783
1,0.7458226,-0.4735882,0.0019789801,-0.014610558,-0.014142262,-0.014610558,639.9783
2,0.7457492,1.0,-0.00038618015,-0.03626554,-0.03851813,-0.03626554,639.9783
3,0.74563044,0.99992,-0.0017306478,-0.007311595,-0.007018836,-0.007311595,639.9783
4,0.7454887,-0.9999816,0.0022671332,0.023244523,0.02388642,0.023244523,639.9783
5,0.74535716,-0.9996507,0.0007148178,-0.0030139773,-0.004915318,-0.0030139773,639.9783
6,0.7452681,0.7953748,-0.0020488384,-0.010100472,-0.010029791,-0.010100472,639.9783
7,0.7452408,0.45517933,-0.0023219185,0.016421203,0.019642727,0.016421203,639.9783
8,0.74527556,0.0,0.0012085813,0.02949733,0.032737296,0.02949733,639.9783
9,0.74535733,-0.94903326,0.00048162046,0.01706157,0.01908672,0.01706157,639.9783
10,0.74546504,-0.9997475,-0.00014417547,0.003530464,0.005227144,0.003530464,639.9783
11,0.7455812,-1.0,-0.00044311958,-0.0024872478,-0.0007768963,-0.0024872478,639.9783
12,0.7456976,-0.9989861,0.00085512106,-0.0028460568,-0.0014558532,-0.0028460568,639.9783
13,0.7458149,-1.0,-0.0024271067,-0.0056929225,-0.004648536,-0.0056929225,639.9783
14,0.7459377,-1.0,-0.0072497744,0.017022885,0.020419681,0.017022885,639.9783
15,0.7460695,1.0,-0.010365808,0.06746835,0.07586106,0.06746835,639.9783
16,0.74620914,1.0,-0.0072982917,0.120855,0.1350522,0.120855,639.9783
17,0.7463502,1.0,0.0013383642,0.10653464,0.12202559,0.10653464,639.9783
18,0.7464841,1.0,0.007224319,0.0005114571,0.013025134,0.0005114571,639.9783
19,0.74660194,1.0,0.0058312807,-0.13304412,-0.12519014,-0.13304412,639.9783
20,0.7466966,0.998663,0.008743737,-0.20426826,-0.1996408,-0.20426826,639.9783
21,0.7467627,-0.9996526,0.009418418,-0.21921843,-0.2197193,-0.21921843,639.9783
22,0.74679774,-1.0,0.0013338337,-0.16714416,-0.17088398,-0.16714416,639.9783
23,0.74680096,1.0,-0.0025801412,-0.025069296,-0.025967611,-0.025069296,639.9783
24,0.7467736,0.21165805,-0.0015006693,0.14875895,0.15271239,0.14875895,639.9783
25,0.7467183,0.9993916,0.000268922,0.25406915,0.2600624,0.25406915,639.9783
26,0.7466392,0.2678769,0.0011723265,0.22231708,0.22569986,0.22231708,639.9783
27,0.7465416,-0.994592,0.0017228038,0.09712938,0.097368665,0.09712938,639.9783
28,0.7464316,-0.99968123,-0.00039169725,-0.04590322,-0.04700771,-0.04590322,639.9783
29,0.746315,-1.0,-0.0031587153,-0.12198715,-0.121397726,-0.12198715,639.9783
30,0.7461968,-0.9999152,-0.0042161965,-0.12011672,-0.11713477,-0.12011672,639.9783
31,0.7460798,-1.0,-0.004660784,-0.07312021,-0.06736467,-0.07312021,639.9783
32,0.7459665,-1.0,-0.004872557,-0.0013227015,0.00827406,-0.0013227015,639.9783
33,0.7458593,1.0,-0.004481916,0.07276127,0.08763113,0.07276127,639.9783
34,0.74576193,1.0,-0.0031281628,0.12659925,0.1476085,0.12659925,639.9783
35,0.7456793,1.0,-0.00040196237,0.109094895,0.13316245,0.109094895,639.9783
36,0.74561894,1.0,0.0013079509,-0.009255708,0.013377671,-0.009255708,639.9783
37,0.7455887,1.0,0.0027889616,-0.16485687,-0.14679682,-0.16485687,639.9783
38,0.74559414,1.0,0.0014687044,-0.261178,-0.2469736,-0.261178,639.9783
39,0.74563515,0.9997878,0.0024783527,-0.25507647,-0.24309477,-0.25507647,639.9783
40,0.74570644,0.62314904,0.0016428407,-0.18691352,-0.17895412,-0.18691352,639.9783
41,0.74579877,-0.9974832,-0.00017172944,-0.08177119,-0.077938765,-0.08177119,639.9783
42,0.7459005,-0.9999451,-0.00032896097,0.046678968,0.049361125,0.046678968,639.9783
43,0.74600327,-0.9994725,0.0001986384,0.17746669,0.18206018,0.17746669,639.9783
44,0.74610364,-0.7255499,5.020522e-05,0.26992926,0.2774109,0.26992926,639.9783
45,0.74620324,1.0,5.5670916e-05,0.27383608,0.282672,0.27383608,639.9783
46,0.74630487,1.0,0.0023920613,0.17913462,0.1868733,0.17913462,639.9783
47,0.74640864,-1.0,0.0038792593,0.011220821,0.013727836,0.011220821,639.9783
48,0.74650925,0.9999863,-0.00029390943,-0.1353545,-0.13669917,-0.1353545,639.9783
49,0.746597,0.9199216,-0.005667914,-0.18139382,-0.18327403,-0.18139382,639.9783
50,0.7466609,-0.18675213,-0.004494335,-0.124994494,-0.12592715,-0.124994494,639.9783
51,0.74669325,-0.9639971,-0.0028557824,-0.036956035,-0.03981525,-0.036956035,639.9783
52,0.7466919,-0.99999505,-0.0061452896,0.0536846,0.05149391,0.0536846,639.9783
53,0.74666,-1.0,-0.00835588,0.13432257,0.13559775,0.13432257,639.9783
54,0.74660426,1.0,-0.011075242,0.18489707,0.19037159,0.18489707,639.9783
55,0.74653167,1.0,-0.011329235,0.20201226,0.21272403,0.20201226,639.9783
56,0.74644727,1.0,0.0010530392,0.15483493,0.16797958,0.15483493,639.9783
