,action_0,action_1,action_2,action_3,action_4,action_5,cumulative_reward
0,-0.0,0.0043776096,-0.0,0.0,0.7615942,0.004753532,1095.8871
1,0.04331292,0.003243313,0.04331292,-0.0073062694,0.7615942,0.5243406,1095.8871
2,0.15934531,0.0009548404,0.15934531,-0.022606622,0.7615942,-0.5875596,1095.8871
3,0.15916784,-0.00050323986,0.15916784,-0.024883602,0.7615942,0.07018825,1095.8871
4,0.039439585,-0.00011695655,0.039439585,-0.0073571354,0.7615942,-0.13345073,1095.8871
5,-0.060264755,0.00043504545,-0.060264755,0.012301785,0.7615942,0.19364688,1095.8871
6,-0.088784285,0.00013004233,-0.088784285,0.018761788,0.7615942,-0.23052599,1095.8871
7,-0.07242334,-0.00029430125,-0.07242334,0.015361814,0.7615942,0.08574957,1095.8871
8,-0.022354534,-0.0011748192,-0.022354534,0.004666487,0.7615942,-0.15989672,1095.8871
9,0.037945583,-0.0020484494,0.037945583,-0.007782149,0.7615942,0.041311868,1095.8871
10,0.08153162,-0.0024182727,0.08153162,-0.01666669,0.7615942,-0.146341,1095.8871
11,0.10890535,-0.0021875787,0.10890535,-0.022653563,0.7615942,-0.040197812,1095.8871
12,0.12783276,-0.001334227,0.12783276,-0.027523939,0.7615942,0.08201858,1095.8871
13,0.13421306,0.0002002774,0.13421306,-0.030142196,0.7615942,-0.22213699,1095.8871
14,0.14389504,0.0010269929,0.14389504,-0.033407517,0.7615942,-0.01549948,1095.8871
15,0.17439121,0.00043612064,0.17439121,-0.041454695,0.7615942,-0.10421069,1095.8871
16,0.18847889,-2.478382e-06,0.18847889,-0.04596419,0.7615942,0.030394984,1095.8871
17,0.15565434,0.00046431308,0.15565434,-0.039006352,0.7615942,0.03186655,1095.8871
18,0.1100673,0.00022105442,0.1100673,-0.028117636,0.7615942,-0.1403156,1095.8871
19,0.057269536,8.032381e-07,0.057269536,-0.014872001,0.7615942,0.028653828,1095.8871
20,0.006614699,5.81974e-05,0.006614699,-0.0017425303,0.7615942,0.12260371,1095.8871
21,-0.025800964,7.995108e-05,-0.025800964,0.0068575614,0.7615942,-0.13855056,1095.8871
22,-0.043010235,0.00016660207,-0.043010235,0.011474084,0.7615942,0.0526969,1095.8871
23,-0.040863384,0.00017962251,-0.040863384,0.010895379,0.7615942,-0.056143183,1095.8871
24,-0.019921953,0.00013780087,-0.019921953,0.005297817,0.7615942,0.07911765,1095.8871
25,0.010154066,9.9744844e-05,0.010154066,-0.0026950075,0.7615942,-0.11506574,1095.8871
26,0.0466335,-4.4057106e-05,0.0466335,-0.012392847,0.7615942,0.22805634,1095.8871
27,0.076427355,3.7376896e-05,0.076427355,-0.020455606,0.7615942,-0.17313512,1095.8871
28,0.09031616,7.332658e-05,0.09031616,-0.024425996,0.7615942,0.1075402,1095.8871
29,0.08861727,4.7871374e-05,0.08861727,-0.024275046,0.7615942,0.046500653,1095.8871
30,0.06715726,0.00010911821,0.06715726,-0.01864877,0.7615942,-0.12817866,1095.8871
31,0.03229386,-2.2696428e-05,0.03229386,-0.009077302,0.7615942,-0.014652944,1095.8871
32,-0.009450399,3.342874e-05,-0.009450399,0.0026888794,0.7615942,-0.06433196,1095.8871
33,-0.041282628,1.00297974e-07,-0.041282628,0.011858629,0.7615942,0.15728359,1095.8871
34,-0.05817673,-0.0001150228,-0.05817673,0.01680202,0.7615942,-0.22305115,1095.8871
35,-0.060838707,-0.00052229525,-0.060838707,0.017581776,0.7615942,0.04617625,1095.8871
36,-0.04748293,-0.0012643241,-0.04748293,0.0136876535,0.7615942,-0.11362213,1095.8871
37,-0.021308918,-0.002176343,-0.021308918,0.006125651,0.7615942,0.186148,1095.8871
38,0.003341926,-0.0029366594,0.003341926,-0.00096069445,0.7615942,-0.18149777,1095.8871
39,0.01909713,-0.0034767338,0.01909713,-0.0055132424,0.7615942,0.259709,1095.8871
40,0.021943795,-0.003679662,0.021943795,-0.006388418,0.7615942,-0.20210785,1095.8871
41,0.009556196,-0.0035615272,0.009556196,-0.0028131946,0.7615942,0.12082782,1095.8871
42,-0.009742831,-0.003299537,-0.009742831,0.0029031085,0.7615942,0.064555265,1095.8871
43,-0.032028582,-0.0029508583,-0.032028582,0.009648498,0.7615942,-0.071743585,1095.8871
44,-0.05401823,-0.0027038537,-0.05401823,0.016397232,0.7615942,-0.008863098,1095.8871
45,-0.07079233,-0.002674413,-0.07079233,0.021549866,0.7615942,0.021481792,1095.8871
46,-0.08211683,-0.0028809556,-0.08211683,0.02493224,0.7615942,-0.11779007,1095.8871
47,-0.08066102,-0.0034658674,-0.08066102,0.024291918,0.7615942,0.18588953,1095.8871
48,-0.06476388,-0.0043311534,-0.06476388,0.019258883,0.7615942,-0.20830594,1095.8871
49,-0.041324645,-0.005333366,-0.041324645,0.012111423,0.7615942,0.07823757,1095.8871
50,-0.012675621,-0.006377926,-0.012675621,0.0036658044,0.7615942,0.055588372,1095.8871
51,0.0147975935,-0.0072410833,0.0147975935,-0.004238621,0.7615942,-0.13082713,1095.8871
52,0.031672113,-0.007780738,0.031672113,-0.009030836,0.7615942,0.004026026,1095.8871
53,0.041009065,-0.008033159,0.041009065,-0.011702234,0.7615942,-0.054531246,1095.8871
54,0.046818424,-0.008003859,0.046818424,-0.013430636,0.7615942,0.08824251,1095.8871
