iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2
0,-0.13287628,0.0,1.853072,1.4317042,1.0446892
1,-0.13287604,1.0663750171661377,1.853072,1.4317042,1.0446892
2,-0.13287616,1.0748426914215088,1.853072,1.4317042,1.044689
3,-0.13287616,1.0432634353637695,1.853072,1.4317042,1.044689
4,-0.1328764,1.019454002380371,1.853072,1.4317042,1.044689
5,-0.13287616,1.011019229888916,1.853072,1.4317042,1.044689
6,-0.13287616,1.0708370208740234,1.853072,1.4317042,1.044689
7,-0.13287628,1.0356972217559814,1.853072,1.4317042,1.044689
8,-0.13287628,1.0099296569824219,1.853072,1.4317042,1.044689
9,-0.13287616,1.0480694770812988,1.853072,1.4317042,1.044689
10,-0.13287616,1.0994961261749268,1.853072,1.4317042,1.044689
11,-0.13287616,3.020259380340576,1.853072,1.4317042,1.044689
12,-0.13287616,1.0532703399658203,1.853072,1.4317042,1.0446892
13,-0.13287616,1.0154387950897217,1.853072,1.4317042,1.0446892
14,-0.04391265,1.0406272411346436,2.3424296,1.2445719,0.9962637
15,-0.04122579,0.999800443649292,2.4870381,1.198457,1.0405867
16,-0.04122591,1.0433053970336914,2.4870381,1.198457,1.0405867
17,-0.04122567,0.9397673606872559,2.4870381,1.198457,1.0405867
18,-0.041225553,1.0323152542114258,2.4870381,1.198457,1.0405867
19,-0.036005497,1.0525386333465576,2.4063745,1.2452111,0.94318587
20,-0.036005497,1.0407521724700928,2.4063745,1.2452111,0.94318587
21,-0.036005378,1.0743088722229004,2.4063745,1.2452111,0.94318587
22,-0.036005616,0.9546236991882324,2.4063745,1.2452111,0.94318587
23,-0.036005378,0.9790163040161133,2.4063745,1.2452111,0.94318587
24,-0.036005497,1.0050103664398193,2.4063745,1.2452111,0.94318587
25,-0.036005497,1.0095889568328857,2.4063745,1.2452111,0.94318587
26,-0.03597784,1.085066556930542,2.4645042,1.2271386,0.96154726
27,-0.03597772,1.0132765769958496,2.4645042,1.2271386,0.96154726
28,-0.010544896,1.0352628231048584,2.0914657,1.3253129,0.8649939
29,-0.00812161,1.0551495552062988,2.11013,1.3181032,0.86239576
30,-0.008121371,0.996809720993042,2.11013,1.3181032,0.86239576
31,0.0017405748,0.9991250038146973,2.2130942,1.2795609,0.8577508
32,0.022365987,1.033834457397461,2.268886,1.2320917,0.90590614
33,0.022365987,1.1263313293457031,2.268886,1.2320917,0.90590614
34,0.022366107,1.0077784061431885,2.268886,1.2320917,0.90590614
35,0.022365808,1.046241283416748,2.268886,1.2320917,0.90590614
36,0.022365987,1.0134673118591309,2.268886,1.2320917,0.90590614
37,0.022366107,0.9492084980010986,2.268886,1.2320917,0.90590614
38,0.022366107,1.045419454574585,2.268886,1.2320917,0.90590614
39,0.022365808,1.0337328910827637,2.268886,1.2320917,0.90590614
40,0.022365868,1.0984745025634766,2.268886,1.2320917,0.90590614
41,0.02236569,1.0029115676879883,2.268886,1.2320917,0.90590614
42,0.022366107,1.017259120941162,2.268886,1.2320917,0.90590614
43,0.022365868,0.9659490585327148,2.268886,1.2320917,0.90590614
44,0.022366226,0.9411613941192627,2.268886,1.2320917,0.90590614
45,0.022365987,1.1317951679229736,2.268886,1.2320917,0.90590614
46,0.022366285,1.0302324295043945,2.268886,1.2320917,0.90590614
47,0.022365868,1.094486951828003,2.268886,1.2320917,0.90590614
48,0.022365987,1.0683772563934326,2.268886,1.2320917,0.90590614
49,0.022366226,1.015164852142334,2.268886,1.2320917,0.90590614
50,0.022365987,0.9725799560546875,2.268886,1.2320917,0.90590614
51,0.022365987,0.9849145412445068,2.268886,1.2320917,0.90590614
52,0.022365987,1.1010899543762207,2.268886,1.2320917,0.90590614
53,0.022365987,1.0432066917419434,2.268886,1.2320917,0.90590614
54,0.023219287,1.0591964721679688,2.3135562,1.2161664,0.9137694
55,0.023219526,1.021794080734253,2.3135562,1.2161664,0.9137694
56,0.023219407,1.0183258056640625,2.3135562,1.2161664,0.9137694
57,0.023219287,0.9563937187194824,2.3135562,1.2161664,0.9137694
58,0.023219407,1.0188913345336914,2.3135562,1.2161664,0.9137694
59,0.023219526,0.9836215972900391,2.3135562,1.2161664,0.9137694
60,0.023219287,1.0752363204956055,2.3135562,1.2161664,0.9137694
61,0.023219645,1.1227853298187256,2.3135562,1.2161664,0.9137694
62,0.023219407,0.972559928894043,2.3135562,1.2161664,0.9137694
63,0.023219287,1.008863925933838,2.3135562,1.2161664,0.9137694
64,0.023219347,0.9791755676269531,2.3135562,1.2161664,0.9137694
65,0.023219228,1.0821757316589355,2.3135562,1.2161664,0.9137694
66,0.023219407,1.0559420585632324,2.3135562,1.2161664,0.9137694
67,0.023219407,1.0720772743225098,2.3135562,1.2161664,0.9137694
68,0.023219228,1.0122807025909424,2.3135562,1.2161664,0.9137694
69,0.023269475,0.9404153823852539,2.3246548,1.2122695,0.9161357
70,0.023269832,0.9841530323028564,2.3246548,1.2122695,0.9161357
71,0.023269713,1.1431403160095215,2.3246548,1.2122695,0.9161357
72,0.023269892,1.0972251892089844,2.3246548,1.2122695,0.9161357
73,0.023269713,1.0789868831634521,2.3246548,1.2122695,0.9161357
74,0.023269832,0.9928195476531982,2.3246548,1.2122695,0.9161357
75,0.023271143,1.0522785186767578,2.3299222,1.2104286,0.9173153
76,0.023271143,1.0058059692382812,2.3299222,1.2104286,0.9173153
77,0.023270845,1.034820556640625,2.3299222,1.2104286,0.9173153
78,0.023271024,1.0765998363494873,2.3299222,1.2104286,0.9173153
79,0.023270965,1.0475776195526123,2.3299222,1.2104286,0.9173153
80,0.023271024,1.0642426013946533,2.3299222,1.2104286,0.9173153
81,0.023270965,1.0229706764221191,2.3299222,1.2104286,0.9173153
82,0.023271024,2.9853904247283936,2.3299222,1.2104286,0.9173153
83,0.023270965,1.0399420261383057,2.3299222,1.2104286,0.9173153
84,0.023271024,1.0695054531097412,2.3299222,1.2104286,0.9173153
85,0.023271143,1.0242624282836914,2.3299222,1.2104286,0.9173153
86,0.023271263,1.0226795673370361,2.3299222,1.2104286,0.9173153
87,0.028343976,0.984443187713623,2.2574167,1.2431723,0.895048
88,0.029017389,0.9281556606292725,2.4808304,1.1728152,0.8634233
89,0.02923274,0.9821312427520752,2.4784968,1.1735609,0.86237246
90,0.031215787,1.0293257236480713,2.4516907,1.1819429,0.85335904
91,0.031215608,1.084341287612915,2.4516907,1.1819429,0.85335904
92,0.031215668,1.0149197578430176,2.4516907,1.1819429,0.85335904
93,0.031215668,0.9928770065307617,2.4516907,1.1819429,0.8533588
94,0.031215787,1.062544822692871,2.4516907,1.1819429,0.8533588
95,0.031215787,0.9897253513336182,2.4516907,1.1819429,0.8533588
96,0.049553692,1.1296567916870117,2.251326,1.2334795,0.8491321
97,0.051531613,1.1318004131317139,2.3144646,1.1983625,0.93837005
98,0.05685574,1.0805890560150146,2.1933405,1.2339557,0.95006657
99,0.056855917,1.0320875644683838,2.1933448,1.2339541,0.9500659
100,0.056855917,1.0657787322998047,2.1933448,1.2339541,0.9500659
101,0.056856036,0.9508852958679199,2.1933413,1.2339554,0.9500664
102,0.056856155,0.9993879795074463,2.1933448,1.2339541,0.9500659
103,0.058125556,1.1753382682800293,2.2250302,1.2252377,0.9263656
104,0.058125734,1.0203006267547607,2.2250302,1.2252377,0.9263656
105,0.058125615,1.0293197631835938,2.2250302,1.2252377,0.9263656
106,0.058125854,1.0068013668060303,2.2250302,1.2252377,0.9263654
107,0.058125615,1.0137968063354492,2.2250302,1.2252377,0.9263654
108,0.058125615,1.018843650817871,2.2250302,1.2252377,0.9263654
109,0.058125615,1.036184549331665,2.2250302,1.2252377,0.9263654
110,0.058125734,1.0932152271270752,2.2250302,1.2252377,0.9263656
111,0.058125854,1.0087289810180664,2.2250302,1.2252377,0.9263656
112,0.058125734,0.9732251167297363,2.2250302,1.2252377,0.9263656
113,0.058125734,0.9982142448425293,2.2250302,1.2252377,0.9263656
114,0.058125734,1.0349791049957275,2.2250302,1.2252377,0.9263654
115,0.058125734,1.0150654315948486,2.2250302,1.2252377,0.9263654
116,0.058125734,1.029801607131958,2.2250302,1.2252377,0.9263656
117,0.058125734,1.0013408660888672,2.2250302,1.2252377,0.9263656
118,0.058125615,1.0431585311889648,2.2250302,1.2252377,0.9263654
119,0.058528423,1.0238866806030273,2.2362514,1.2174046,0.94506174
120,0.058528423,1.0837767124176025,2.2362514,1.2174046,0.9450615
121,0.058528304,1.064164400100708,2.2362514,1.2174046,0.9450615
122,0.058528602,0.9802372455596924,2.2362514,1.2174046,0.94506174
123,0.058528423,1.1243093013763428,2.2362514,1.2174046,0.94506174
124,0.058528304,1.1023285388946533,2.2362514,1.2174046,0.9450615
125,0.058528423,0.9968023300170898,2.2362514,1.2174046,0.9450615
126,0.058528304,1.0929772853851318,2.2362514,1.2174046,0.9450615
127,0.058528423,1.0556418895721436,2.2362514,1.2174046,0.9450615
128,0.058528185,0.9782569408416748,2.2362514,1.2174046,0.9450615
129,0.058528304,1.0416388511657715,2.2362514,1.2174046,0.9450615
130,0.058724403,1.0291187763214111,2.1924744,1.2171782,0.95573246
131,0.05872464,1.0146286487579346,2.1924744,1.2171782,0.95573217
132,0.058724523,1.0269453525543213,2.1924744,1.2171782,0.95573217
133,0.058724344,1.0408053398132324,2.1924744,1.2171782,0.95573246
134,0.058724523,0.9975004196166992,2.1924744,1.2171782,0.95573217
135,0.058724403,0.9917957782745361,2.1924744,1.2171782,0.95573246
136,0.058724523,1.0218770503997803,2.1924744,1.2171782,0.95573217
137,0.058724523,1.0887045860290527,2.1924744,1.2171782,0.95573217
138,0.058724523,1.0490012168884277,2.1924744,1.2171782,0.95573217
139,0.05872464,1.027148723602295,2.1924744,1.2171782,0.95573217
140,0.058724523,0.9733211994171143,2.1924744,1.2171782,0.95573217
141,0.05872464,0.9890375137329102,2.1924744,1.2171782,0.95573217
142,0.05872464,1.070338487625122,2.1924744,1.2171782,0.95573217
143,0.05877751,1.0806491374969482,2.1937172,1.2167265,0.95576835
144,0.05877751,1.0474984645843506,2.1937172,1.2167265,0.95576835
145,0.05877751,1.029064655303955,2.1937172,1.2167265,0.95576835
146,0.058781624,0.9943311214447021,2.193815,1.2166911,0.95577127
147,0.058781683,0.9763584136962891,2.193815,1.2166911,0.95577127
148,0.058792472,1.021057367324829,2.1940672,1.2165996,0.955779
149,0.0588032,1.0647690296173096,2.1943276,1.216505,0.95578724
150,0.058803678,1.072139024734497,2.194336,1.216502,0.9557873
151,0.0588035,1.023885726928711,2.194336,1.216502,0.9557873
152,0.05886078,1.017322301864624,2.2072318,1.2120552,0.9553293
153,0.05886078,3.0309319496154785,2.2072318,1.2120552,0.9553293
154,0.05886066,1.0563671588897705,2.2072318,1.2120552,0.95532906
155,0.05886078,1.0844464302062988,2.2072318,1.2120552,0.9553293
156,0.05886066,1.1223688125610352,2.2072318,1.2120552,0.95532906
157,0.058860898,0.9899013042449951,2.2072318,1.2120552,0.95532906
158,0.05886078,1.018078088760376,2.2072318,1.2120552,0.95532906
159,0.0588606,1.0025079250335693,2.2072318,1.2120552,0.9553293
160,0.0588606,1.1004688739776611,2.2072318,1.2120552,0.95532906
161,0.0588606,1.0317962169647217,2.2072318,1.2120552,0.9553293
162,0.05886048,1.1212620735168457,2.2072318,1.2120552,0.95532906
163,0.059048235,1.068769931793213,2.3487544,1.1776339,0.96465766
164,0.059048235,1.0794310569763184,2.3487544,1.1776339,0.96465766
165,0.05961567,1.010148286819458,2.307967,1.1917762,0.9557023
166,0.05961567,0.9988422393798828,2.307967,1.1917762,0.9557023
167,0.05961567,0.9490396976470947,2.307967,1.1917762,0.9557023
168,0.059615612,1.0506253242492676,2.307967,1.1917762,0.9557023
169,0.05961567,1.0417745113372803,2.307967,1.1917762,0.9557023
170,0.05984664,1.0936338901519775,2.3135018,1.190464,0.96433496
171,0.05984664,1.0707242488861084,2.3135018,1.190464,0.96433496
172,0.05984652,1.021540880203247,2.3135018,1.190464,0.96433496
173,0.06434411,1.0859839916229248,2.2653768,1.1857467,0.9846337
174,0.06434423,1.0539743900299072,2.2653768,1.1857467,0.9846337
175,0.06467348,1.132007360458374,2.3672183,1.1482993,1.0078325
176,0.06467348,1.021979570388794,2.3672183,1.1482993,1.0078325
177,0.064673185,1.0038433074951172,2.3672183,1.1482993,1.0078325
178,0.065158844,0.9627680778503418,2.3229234,1.1643369,0.99620885
179,0.06515896,0.9467034339904785,2.3229234,1.1643369,0.99620885
180,0.06515896,1.0250415802001953,2.3229234,1.1643369,0.99620885
181,0.067777336,1.1270945072174072,2.2186465,1.1974242,1.0070422
182,0.06995374,1.0318272113800049,2.2802083,1.1738151,1.0148662
183,0.0699538,1.0387017726898193,2.2802083,1.1738151,1.0148662
184,0.07032573,1.031503677368164,2.3284552,1.1558369,1.0242865
185,0.07032597,1.0653173923492432,2.3284552,1.1558369,1.0242865
186,0.07032585,0.9777891635894775,2.3284552,1.1558369,1.0242865
187,0.07032567,1.1336688995361328,2.3284552,1.1558369,1.0242865
188,0.07032597,1.0369818210601807,2.3284552,1.1558369,1.0242865
189,0.07032573,1.0810909271240234,2.3284552,1.1558369,1.0242865
