iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7
0,0.029079378,0.0,1.7101762,166.14105,1.7884715,1.1887167,0.28806165,8.810285,1.6791222,1.206344
1,0.036842823,1.9615511894226074,1.7101762,166.14105,1.7884715,1.1887167,0.28806165,8.810285,1.6791222,1.206344
2,0.01984179,1.7702772617340088,1.7101762,166.14105,1.7884715,1.1887167,0.28806165,8.810285,1.6791222,1.206344
3,0.03870642,1.8326070308685303,1.7101762,166.14105,1.7884715,1.1887167,0.28806165,8.810285,1.6791222,1.206344
4,0.031101286,1.9492499828338623,1.711581,167.84833,1.7906113,1.1893291,0.2883466,8.8054285,1.679549,1.2059029
5,0.034727573,1.9111244678497314,1.7099297,168.08798,1.7892979,1.188524,0.28831345,8.809532,1.6764627,1.2069293
6,0.04243481,2.0213310718536377,1.7110441,168.1217,1.7900304,1.189103,0.2883602,8.810466,1.6781974,1.2068784
7,0.027276218,1.8985774517059326,1.7093216,168.03821,1.788403,1.1892326,0.28786612,8.801381,1.6792878,1.2055223
8,0.033076584,1.9193196296691895,1.7108877,168.0872,1.7896639,1.1892828,0.2881996,8.808076,1.6795076,1.206716
9,0.029090345,1.9062213897705078,1.4994459,198.36475,1.5695869,0.36582783,1.2671176,10.722076,1.2577735,2.2962937
10,0.037044585,1.9271390438079834,1.7101451,168.12268,1.7897162,1.1890692,0.2882599,8.809287,1.6789839,1.2069235
11,0.03053552,1.9784696102142334,1.499756,197.95218,1.5695393,0.3658633,1.2669313,10.712676,1.2573146,2.2960665
12,0.022743225,1.8054907321929932,1.7101912,168.12372,1.7893116,1.1880322,0.2883584,8.80997,1.6773747,1.2068653
13,0.033997536,1.8616642951965332,1.7101625,167.95276,1.789519,1.1893157,0.28822201,8.807788,1.6795397,1.2069291
14,0.03757006,1.974231243133545,1.4987143,198.36569,1.5683261,0.3657978,1.2659439,10.721609,1.256345,2.2942173
15,0.034023285,1.990065097808838,1.5007101,198.31598,1.5704439,0.36592734,1.2676134,10.722324,1.2580956,2.2958074
