n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
6,8,3,4,1,2,2,4,3,3,3,6,0.8823529411764706,0.45,24,21,ga2_friction_dyn_one-hot_adam_wfn_0,0,_wfn,adam,friction_dyn_one-hot
8,6,0,4,2,5,3,8,2,3,1,4,0.9411764705882353,0.46,28,18,ga2_friction_dyn_one-hot_adam_win_0,0,_win,adam,friction_dyn_one-hot
6,8,3,4,1,2,2,4,3,3,3,6,0.8823529411764706,0.45,24,21,ga2_friction_dyn_one-hot_adam_wfn_bfn_0,0,_wfn_bfn,adam,friction_dyn_one-hot
8,6,0,4,2,5,3,8,2,3,1,4,0.9411764705882353,0.46,28,18,ga2_friction_dyn_one-hot_adam_win_bfn_0,0,_win_bfn,adam,friction_dyn_one-hot
6,8,3,4,1,2,2,4,3,3,3,6,0.8823529411764706,0.45,24,21,ga2_friction_dyn_one-hot_adam_wfn_bin_0,0,_wfn_bin,adam,friction_dyn_one-hot
8,6,0,4,2,5,3,8,2,3,1,4,0.9411764705882353,0.46,28,18,ga2_friction_dyn_one-hot_adam_win_bin_0,0,_win_bin,adam,friction_dyn_one-hot
5,2,7,5,3,3,3,3,5,11,7,0,0.9411764705882353,0.54,35,19,ga2_friction_dyn_one-hot_gaussian_wfn_0,0,_wfn,gaussian,friction_dyn_one-hot
2,3,4,4,3,3,5,6,6,2,3,5,0.8823529411764706,0.46,33,13,ga2_friction_dyn_one-hot_gaussian_win_0,0,_win,gaussian,friction_dyn_one-hot
5,2,7,5,3,3,3,3,5,11,7,0,0.9411764705882353,0.54,35,19,ga2_friction_dyn_one-hot_gaussian_wfn_bfn_0,0,_wfn_bfn,gaussian,friction_dyn_one-hot
2,3,4,4,3,3,5,6,6,2,3,5,0.8823529411764706,0.46,33,13,ga2_friction_dyn_one-hot_gaussian_win_bfn_0,0,_win_bfn,gaussian,friction_dyn_one-hot
5,2,7,5,3,3,3,3,5,11,7,0,0.9411764705882353,0.54,35,19,ga2_friction_dyn_one-hot_gaussian_wfn_bin_0,0,_wfn_bin,gaussian,friction_dyn_one-hot
2,3,4,4,3,3,5,6,6,2,3,5,0.8823529411764706,0.46,33,13,ga2_friction_dyn_one-hot_gaussian_win_bin_0,0,_win_bin,gaussian,friction_dyn_one-hot
4,3,7,6,4,2,9,4,2,2,6,3,0.8235294117647058,0.52,32,20,ga2_friction_dyn_one-hot_gaussian_0,0,,gaussian,friction_dyn_one-hot
5,5,6,3,1,2,7,5,5,3,4,5,0.8823529411764706,0.51,32,19,ga2_friction_dyn_one-hot_adam_wfn_1,1,_wfn,adam,friction_dyn_one-hot
6,4,3,2,2,5,2,8,5,4,5,3,0.8823529411764706,0.49,34,15,ga2_friction_dyn_one-hot_adam_win_1,1,_win,adam,friction_dyn_one-hot
