iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
0,-0.15226972,0.0,1.3235408,1.1483911,1.0609444,1.0248697,1.3517413,1.497175,1.4196774,1.5472081,1.2411102,1.051662,0.9528012,0.89709514,1.3175007,1.490878,1.3838589,1.5502937
1,-0.19043231,1.989198923110962,1.3242302,1.1494129,1.0608573,1.0247667,1.351717,1.4971845,1.4203638,1.5477754,1.2399303,1.0511289,0.95224327,0.89710295,1.3174366,1.4918362,1.3854922,1.5512239
2,-0.17073703,1.8182027339935303,1.3230551,1.1486311,1.0603149,1.0244266,1.351906,1.4971676,1.4204775,1.5477296,1.2406524,1.0517013,0.9520377,0.8967985,1.3177145,1.4910643,1.3854189,1.5506811
3,-0.14312208,1.9746203422546387,1.3244966,1.1496755,1.0609609,1.0247451,1.3514733,1.4957708,1.418804,1.5463467,1.2411747,1.051869,0.9527632,0.8971189,1.3165218,1.4900752,1.3828115,1.5497506
4,-0.19205451,1.977468729019165,1.3245317,1.1499152,1.0589467,1.0237213,1.3516028,1.4964072,1.4202032,1.5473255,1.2411262,1.0520352,0.9526479,0.8969513,1.3163913,1.4888638,1.382751,1.5497252
5,-0.16043401,1.991288661956787,1.324904,1.1499557,1.0609186,1.0247656,1.3505933,1.4954277,1.4185287,1.5463474,1.2409153,1.0520389,0.9523298,0.89681864,1.3144968,1.489281,1.3842062,1.5505111
6,-0.21949923,1.9515390396118164,1.3246711,1.1490484,1.0605464,1.024705,1.3515055,1.4967552,1.4205027,1.5474151,1.2410924,1.0519726,0.9518119,0.89644974,1.3177981,1.4913574,1.3856232,1.5512292
7,-0.15876698,1.8095872402191162,1.324907,1.1500016,1.0607142,1.0248716,1.351908,1.4970173,1.4205458,1.5479219,1.240519,1.0504909,0.9523436,0.8966832,1.3165534,1.4905189,1.3852373,1.5505645
8,-0.17115712,2.018040657043457,1.324316,1.149595,1.060966,1.0248666,1.351497,1.4965279,1.4205285,1.547732,1.2402769,1.05137,0.95203704,0.8969235,1.3175908,1.4916147,1.3856711,1.5514208
9,-0.17867625,2.038353443145752,1.3243651,1.1498898,1.0609214,1.024856,1.3517616,1.4966741,1.4195457,1.5464907,1.2407784,1.0518277,0.9523378,0.8970629,1.3177938,1.4918425,1.3850993,1.5502431
10,-0.17217982,2.061629056930542,1.3233298,1.1489526,1.0606904,1.0247048,1.3518845,1.4971235,1.4204081,1.5478609,1.2385947,1.0512856,0.9509828,0.8965856,1.3178021,1.4915977,1.3854938,1.5514154
11,-0.1302998,1.9233462810516357,1.3226761,1.1460289,1.0601937,1.0236555,1.3495243,1.4947573,1.4198294,1.5468079,1.2394063,1.0477157,0.9498758,0.89467335,1.3178495,1.4917704,1.3856586,1.5508358
