iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
0,-0.07970548,0.0,1.573445,1.2800152,1.253469,1.0780253,1.2206204,1.2950181,1.2536634,1.3433126,1.5554239,1.2152249,1.2133917,0.9595616,1.1959358,1.3063772,1.2233176,1.3499165
1,-0.066305876,9.021937131881714,1.572928,1.2798314,1.2534274,1.0782982,1.2209638,1.2973328,1.2547033,1.3432873,1.5559182,1.215342,1.2155861,0.95947444,1.196716,1.3076074,1.2244787,1.3524663
2,-0.07213795,9.220516443252563,1.5730845,1.2796513,1.252223,1.0774536,1.2238116,1.3002032,1.2593045,1.3471143,1.555333,1.2148881,1.2151809,0.9595661,1.1967328,1.307783,1.2249981,1.3536347
3,-0.0419029,9.189300060272217,1.6120386,1.3071818,1.2820476,1.0918986,1.2072569,1.2763387,1.23354,1.3184824,1.6010063,1.2465754,1.2529776,0.9822511,1.1777596,1.2812682,1.1993757,1.3218675
4,-0.06443846,8.913963317871094,1.6075292,1.3058321,1.281097,1.0915612,1.206983,1.2777843,1.2366741,1.3217499,1.6008126,1.2460237,1.2541138,0.9822854,1.1779189,1.2813418,1.2007064,1.3245298
5,-0.079049945,9.041373014450073,1.6465466,1.3330991,1.3102643,1.1055448,1.1909987,1.2535322,1.2142624,1.2960038,1.6494879,1.2805424,1.2966845,1.0090442,1.1598206,1.2550662,1.1769419,1.2965231
6,-0.0940851,8.959468841552734,1.6500517,1.3334576,1.3113018,1.1062244,1.1878964,1.2495942,1.2086326,1.2908683,1.649045,1.2798808,1.296171,1.0091245,1.1598,1.2554252,1.1761227,1.2969054
7,-0.07200658,9.178400754928589,1.6004676,1.2981734,1.2724068,1.0862982,1.2092385,1.2804995,1.2379129,1.32453,1.5865726,1.235612,1.2368201,0.9723831,1.1802194,1.286158,1.2034785,1.328352
8,-0.09121406,9.025139093399048,1.650078,1.3344554,1.3113477,1.1062334,1.191501,1.2522937,1.2130756,1.2947898,1.6497827,1.2811681,1.2956913,1.0083103,1.1597021,1.2550738,1.1764514,1.2958164
9,-0.04230225,9.061975002288818,1.6512966,1.3341802,1.3106283,1.1048443,1.1888825,1.2473464,1.2081534,1.2902123,1.6495088,1.2806343,1.293197,1.0061042,1.1591754,1.2529069,1.1742855,1.2950608
10,-0.0790236,9.151654481887817,1.6511124,1.3344629,1.3110985,1.1056919,1.1889414,1.2507974,1.2074885,1.2914101,1.6493728,1.2811608,1.2956647,1.0076876,1.1572937,1.252975,1.1737201,1.2941251
11,-0.06322646,9.39208984375,1.6438794,1.3325498,1.3100755,1.1057688,1.1914996,1.2535844,1.2137595,1.2947603,1.6466137,1.2783219,1.296024,1.0091505,1.1584197,1.2548676,1.1772182,1.2980943
12,-0.056978345,9.12850046157837,1.6509628,1.3344482,1.3113521,1.1061769,1.1895658,1.251603,1.212096,1.2946502,1.6497313,1.2809259,1.2954539,1.0083162,1.1576593,1.252304,1.1755501,1.295236
13,-0.048579693,9.027727842330933,1.6512742,1.3344572,1.31103,1.105814,1.1883441,1.2490033,1.2090802,1.2920871,1.6498705,1.2810628,1.2951525,1.0082085,1.158121,1.2542533,1.1738344,1.2935754
14,-0.045980692,9.054790258407593,1.6498318,1.334398,1.31132,1.1061206,1.1896806,1.2485363,1.2094431,1.2910594,1.64693,1.2798092,1.296641,1.0090977,1.1596344,1.2553585,1.176148,1.2951195
15,-0.07882917,8.904784440994263,1.6512487,1.3343391,1.3113425,1.1059453,1.1898513,1.2505937,1.2116425,1.2950157,1.6483666,1.2809778,1.2954541,1.0082128,1.1586182,1.2539022,1.1767805,1.2962389
16,-0.027356744,8.979602098464966,1.6511317,1.3342575,1.310747,1.1058319,1.1879511,1.248229,1.2104055,1.2923443,1.6495789,1.2805887,1.2945575,1.008281,1.1583811,1.2532134,1.1755422,1.2953943
17,-0.09735978,8.948966264724731,1.650596,1.3344388,1.3113426,1.106165,1.1908747,1.2513316,1.2137094,1.2949015,1.6490186,1.2807465,1.2931594,1.0065899,1.159528,1.2545296,1.1755408,1.2958171
18,-0.053966403,9.1031973361969,1.6508445,1.3333572,1.3097191,1.1031101,1.1879042,1.2506032,1.2116176,1.2909237,1.6497711,1.2810682,1.2951211,1.0074958,1.157319,1.2518035,1.1735909,1.2920479
19,-0.083088756,9.140923976898193,1.6459844,1.3314842,1.3095413,1.1052235,1.1904237,1.251241,1.2095506,1.2920992,1.6495429,1.280524,1.2959552,1.0089447,1.1591598,1.2550423,1.1748595,1.2933141
20,-0.08787775,9.12595510482788,1.6512511,1.3344244,1.3112541,1.1061121,1.1902035,1.2501868,1.211961,1.2942846,1.6483488,1.2811028,1.2949368,1.0074102,1.1590841,1.2546736,1.1760849,1.2944901
21,-0.06957793,9.09162449836731,1.6506282,1.3345813,1.3115145,1.1063383,1.1897904,1.2511313,1.2108706,1.2928666,1.6488522,1.2803556,1.2957691,1.0080407,1.1594597,1.2550519,1.1765128,1.2955344
22,-0.070782185,9.25582766532898,1.650442,1.334558,1.3114804,1.1063726,1.1905386,1.2523056,1.2125933,1.2949783,1.6490488,1.2805859,1.2945212,1.0066044,1.1591984,1.2544848,1.1758584,1.2957075
23,-0.02132225,9.057429075241089,1.6507889,1.3342568,1.3108823,1.1060911,1.1884412,1.2510366,1.2118838,1.2942992,1.6477162,1.27931,1.2918559,1.0057826,1.157352,1.2531823,1.1758194,1.2961915
24,-0.07687628,12.842638492584229,1.6509953,1.3343871,1.3115013,1.1064767,1.1908075,1.252544,1.2133412,1.2948179,1.6490253,1.2802764,1.2957172,1.0084131,1.1591092,1.2543738,1.1760628,1.2947584
25,-0.052042365,9.028697967529297,1.6501385,1.3345717,1.3114823,1.1064036,1.1901431,1.2519718,1.2132537,1.2942264,1.6492276,1.28051,1.2959449,1.0074965,1.1587907,1.2540776,1.1761794,1.295673
26,-0.07452798,9.174686431884766,1.6512238,1.3345188,1.3115017,1.1061945,1.190449,1.2514218,1.211848,1.2947521,1.6490216,1.2803553,1.294963,1.0071816,1.1585902,1.2539831,1.1745692,1.2937144
27,-0.10069251,9.091281652450562,1.649541,1.3318186,1.3082145,1.1029053,1.1889002,1.2497643,1.2104268,1.2927923,1.6477948,1.2805047,1.2938546,1.005434,1.1546297,1.2497517,1.171865,1.2905855
28,-0.07485795,8.887801170349121,1.6500248,1.3343962,1.3115269,1.106403,1.1903534,1.2517307,1.2123497,1.2936243,1.6492512,1.2805916,1.2956736,1.0075129,1.1594615,1.2550926,1.1769314,1.2967465
29,-0.07513058,9.054160118103027,1.6512713,1.3343819,1.3111024,1.1054261,1.1902575,1.2519947,1.213499,1.2945324,1.6481509,1.279844,1.2936761,1.0062697,1.1586933,1.253327,1.1765405,1.2966527
30,-0.11869395,9.156589269638062,1.6512028,1.3346175,1.3112417,1.1061022,1.1907756,1.2529688,1.2135094,1.295429,1.6492566,1.2804904,1.295709,1.0076208,1.1591583,1.2550546,1.176718,1.2969486
31,-0.0071246624,8.94033670425415,1.6512139,1.3345354,1.3109859,1.1062287,1.1891121,1.24931,1.2103657,1.291187,1.6492109,1.2805395,1.2958513,1.0084149,1.1593099,1.2550597,1.176252,1.2969687
32,-0.11032152,8.897716045379639,1.6500394,1.3325121,1.3100781,1.1036638,1.1849843,1.246795,1.207787,1.2897177,1.6484662,1.2804025,1.2949389,1.0073055,1.1587266,1.2540805,1.1763692,1.2943987
33,-0.050855637,9.283543109893799,1.6492786,1.3336099,1.3107407,1.1061951,1.190054,1.2522186,1.2123505,1.2936916,1.6477712,1.2800922,1.2959394,1.008386,1.1594594,1.2539389,1.1766914,1.2965467
34,-0.054702044,9.14329218864441,1.6480713,1.3339235,1.3104805,1.1062065,1.1909388,1.2526829,1.213875,1.2954988,1.6475395,1.2796091,1.2954558,1.0084459,1.1594537,1.2551373,1.1771039,1.2973521
35,-0.0538882,9.124564409255981,1.6508025,1.3342513,1.3113697,1.1064578,1.1909285,1.2527268,1.2122811,1.2946702,1.6492596,1.2805732,1.2953566,1.0083392,1.1587874,1.2550069,1.1771015,1.297727
36,-0.019130468,9.013583421707153,1.6511972,1.3345292,1.3109943,1.1061839,1.1895043,1.2497058,1.2123251,1.2944994,1.6491704,1.2801926,1.2956719,1.0082991,1.1591532,1.255081,1.1766753,1.297244
37,-0.047570825,9.04530930519104,1.6437188,1.3308876,1.3087286,1.1053547,1.1909454,1.2531447,1.2137165,1.2948962,1.6425732,1.2757014,1.293254,1.0081102,1.15849,1.2545502,1.1770806,1.2977037
38,-0.07568729,9.272313594818115,1.6510457,1.3345126,1.3113787,1.1064562,1.1894565,1.2513492,1.2136714,1.2952027,1.6482697,1.2800837,1.2957417,1.0081444,1.1586398,1.2526399,1.1768216,1.2966862
39,-0.07284844,8.933592319488525,1.6475058,1.3324252,1.3110988,1.1061,1.1905669,1.2510958,1.2109346,1.2933713,1.6478821,1.2785772,1.2959453,1.0084405,1.1593609,1.2549887,1.1753311,1.2953446
40,-0.107069254,9.016134023666382,1.6512362,1.3345243,1.3110816,1.1050856,1.1885294,1.2487364,1.2084886,1.291129,1.649154,1.280574,1.2951977,1.0068392,1.1584581,1.2546399,1.1746892,1.2930859
41,-0.08809328,9.203217506408691,1.6495619,1.33313,1.3108037,1.10617,1.1907305,1.2519354,1.2125999,1.294183,1.6482635,1.2800553,1.2959341,1.008293,1.1594617,1.255035,1.1765953,1.2961292
42,-0.07592535,9.25829815864563,1.6509023,1.3345966,1.3102773,1.1061243,1.1909307,1.2529396,1.2139555,1.29566,1.6492445,1.2805916,1.2958763,1.0084257,1.1592435,1.2551377,1.1758578,1.2977417
43,-0.018267035,8.89543604850769,1.6512449,1.3340331,1.3112708,1.1059176,1.1894217,1.2489057,1.2115648,1.2935529,1.6492022,1.2805899,1.2958617,1.007677,1.1579736,1.2515918,1.1754247,1.2941328
44,-0.037129283,9.26720666885376,1.6508628,1.3346252,1.3115221,1.1063445,1.1904244,1.2509466,1.2132865,1.2947514,1.6483275,1.2801365,1.2959285,1.008067,1.1593703,1.2550917,1.1769006,1.296733
45,-0.09055042,9.142531633377075,1.6494268,1.3336465,1.311054,1.1061493,1.1900154,1.2517252,1.2103279,1.2930107,1.6470107,1.2786722,1.2958713,1.0083373,1.1585644,1.2549082,1.1770214,1.297858
46,-0.09231925,9.16549801826477,1.6503471,1.3343723,1.3104062,1.1053104,1.1903414,1.2513974,1.2123599,1.293389,1.6489725,1.2804558,1.2947221,1.0073909,1.15885,1.2546456,1.1766441,1.2957929
47,-0.06668413,9.062896013259888,1.6512518,1.3337315,1.3113732,1.1061231,1.1873845,1.2452171,1.2094353,1.2915902,1.6490034,1.2804221,1.29531,1.0077599,1.1589092,1.2532243,1.1755152,1.2951846
