,action_0,action_1,action_2,cumulative_reward
0,0.0049264,0.03162803,-0.0,986.7274
1,0.003559134,0.035369065,0.0054605585,986.7274
2,0.0014602818,0.056863673,0.034806367,986.7274
3,0.0025303224,0.071448945,0.04282709,986.7274
4,0.004105031,0.08188794,0.044388223,986.7274
5,0.0060837753,0.0895,0.043617763,986.7274
6,0.007828195,0.094828084,0.04307996,986.7274
7,0.008484801,0.09877158,0.044522695,986.7274
8,0.009418542,0.10194119,0.044660725,986.7274
9,0.010420043,0.1040404,0.043863058,986.7274
10,0.010719076,0.10506139,0.043572366,986.7274
11,0.011291049,0.10514375,0.042057835,986.7274
12,0.011277657,0.10415263,0.042135004,986.7274
13,0.011982851,0.10223226,0.040210992,986.7274
14,0.012765778,0.098771326,0.03713547,986.7274
15,0.012947674,0.09410045,0.03373803,986.7274
16,0.01328197,0.08848101,0.029451054,986.7274
17,0.012793961,0.08230809,0.025765426,986.7274
18,0.012422852,0.07626756,0.022210952,986.7274
19,0.011622039,0.070453696,0.019302802,986.7274
20,0.011029646,0.06499546,0.016567146,986.7274
21,0.010509056,0.058961116,0.013633411,986.7274
22,0.009819998,0.05162407,0.010352236,986.7274
23,0.009178875,0.042300425,0.006364002,986.7274
24,0.008897168,0.03240403,0.001378883,986.7274
25,0.008350601,0.03796322,-0.0045900038,986.7274
26,0.0076345033,0.05189043,-0.011491848,986.7274
27,0.00687172,0.06410015,-0.019218698,986.7274
28,0.0061316113,0.074290626,-0.027636815,986.7274
29,0.0054318705,0.082815036,-0.036694612,986.7274
30,0.004759316,0.09001569,-0.046557337,986.7274
31,0.004091216,0.096215,-0.057737824,986.7274
32,0.00340507,0.10170553,-0.07115977,986.7274
33,0.0026782476,0.10671357,-0.08908977,986.7274
34,0.0019376571,0.11135626,-0.115425475,986.7274
35,0.001437309,0.115644336,-0.14686586,986.7274
36,0.001616743,0.1193141,-0.15097684,986.7274
37,0.0017994785,0.12078478,-0.1508518,986.7274
38,0.0016461858,0.11975676,-0.15941343,986.7274
39,0.0014824126,0.11712106,-0.16517487,986.7274
40,0.0014168649,0.11383559,-0.16429682,986.7274
41,0.0014213639,0.110677645,-0.1597931,986.7274
42,0.0014322847,0.107802264,-0.1554993,986.7274
43,0.0014211795,0.105027996,-0.15217347,986.7274
44,0.0014197836,0.1021952,-0.14753078,986.7274
45,0.0014526343,0.0987624,-0.13889796,986.7274
46,0.0014502595,0.094247274,-0.12846677,986.7274
47,0.0014358448,0.08882959,-0.11574338,986.7274
48,0.0014301004,0.08279189,-0.10103398,986.7274
49,0.0014263408,0.07625833,-0.085465916,986.7274
50,0.00142265,0.06932011,-0.0698175,986.7274
51,0.0014221059,0.062047567,-0.054619513,986.7274
52,0.0014246192,0.054342676,-0.040113643,986.7274
53,0.0014269095,0.04597429,-0.026284423,986.7274
54,0.0014268007,0.037177023,-0.013117297,986.7274
55,0.0014261303,0.031650215,-0.00070781336,986.7274
56,0.0014271219,0.036138166,0.010843017,986.7274
57,0.0014305922,0.0447357,0.021574222,986.7274
58,0.0014367528,0.05323029,0.031685863,986.7274
59,0.0014451243,0.061335105,0.04171559,986.7274
60,0.001448701,0.069324106,0.053048167,986.7274
61,0.0014183021,0.07723359,0.066093974,986.7274
62,0.0016230562,0.08421569,0.07318728,986.7274
63,0.0017908775,0.08987255,0.07900276,986.7274
64,0.0018758232,0.0953533,0.086663604,986.7274
65,0.0021804806,0.10084099,0.09003158,986.7274
66,0.0022522816,0.10661264,0.09918003,986.7274
67,0.002389258,0.112785965,0.10817748,986.7274
68,0.0025288935,0.11925032,0.118087955,986.7274
69,0.0023516635,0.12588103,0.13673253,986.7274
70,0.0027772326,0.13270828,0.14062048,986.7274
71,0.00341501,0.13912691,0.14007796,986.7274
72,0.0037294424,0.145254,0.14622456,986.7274
73,0.0050405716,0.1509749,0.13660407,986.7274
74,0.0055008237,0.15601097,0.13941506,986.7274
75,0.0067853667,0.16076253,0.13354257,986.7274
76,0.0075087356,0.1648963,0.13327323,986.7274
77,0.009083268,0.1686433,0.12697403,986.7274
78,0.009888024,0.17168523,0.12586094,986.7274
79,0.011489946,0.17430937,0.12061904,986.7274
80,0.012054037,0.17622612,0.120086886,986.7274
81,0.012894736,0.17779016,0.11812587,986.7274
82,0.013871407,0.17885324,0.11535181,986.7274
83,0.014497264,0.17946555,0.113577075,986.7274
84,0.015597292,0.17946444,0.10981078,986.7274
85,0.015332064,0.17897344,0.10980702,986.7274
86,0.016293598,0.1782852,0.106012955,986.7274
87,0.016567418,0.17694199,0.10357024,986.7274
88,0.017043019,0.17517297,0.10022679,986.7274
89,0.017198889,0.17301868,0.0973433,986.7274
90,0.01787467,0.17028287,0.09276407,986.7274
91,0.017165931,0.1670584,0.09081775,986.7274
92,0.017711971,0.16362956,0.08601884,986.7274
93,0.017615091,0.15944824,0.08195156,986.7274
94,0.017440442,0.15484188,0.077739246,986.7274
95,0.017856738,0.14951175,0.0719526,986.7274
96,0.017124804,0.14345795,0.067653686,986.7274
97,0.017442,0.13693954,0.061426416,986.7274
98,0.017092926,0.12937494,0.055592697,986.7274
99,0.016662274,0.12108155,0.049409885,986.7274
100,0.016796252,0.111603424,0.041693345,986.7274
101,0.016002692,0.10063323,0.034347713,986.7274
102,0.015328728,0.088266104,0.026622703,986.7274
103,0.014644523,0.07347755,0.018488888,986.7274
104,0.013693089,0.05479195,0.010067522,986.7274
105,0.0127605675,0.032365005,0.0011300269,986.7274
106,0.011950764,0.049885716,-0.00847634,986.7274
107,0.011181719,0.07113665,-0.018910142,986.7274
108,0.010363889,0.088348605,-0.030401303,986.7274
109,0.009489944,0.10320382,-0.04318423,986.7274
110,0.008592751,0.11645741,-0.057500415,986.7274
111,0.0076658935,0.12849972,-0.07378104,986.7274
112,0.006662199,0.13954405,-0.093012124,986.7274
113,0.0055322372,0.14970131,-0.11722029,986.7274
114,0.00425844,0.15902805,-0.15062968,986.7274
115,0.0028700456,0.16755927,-0.20347376,986.7274
116,0.0016038355,0.17531997,-0.29604864,986.7274
117,0.0018617411,0.18221429,-0.30101973,986.7274
118,0.002773192,0.186564,-0.26583368,986.7274
119,0.0028018893,0.18725727,-0.27137515,986.7274
120,0.0022347274,0.18488184,-0.29902363,986.7274
121,0.0015556638,0.18087485,-0.34499994,986.7274
122,0.0014321324,0.17705673,-0.35222414,986.7274
123,0.0015005593,0.1742922,-0.3449379,986.7274
124,0.001426613,0.17225318,-0.35683814,986.7274
125,0.0015220998,0.17047763,-0.3512585,986.7274
126,0.001705561,0.16788177,-0.33514783,986.7274
127,0.0016160208,0.16400495,-0.34023643,986.7274
128,0.001498999,0.15933351,-0.34503517,986.7274
129,0.001463317,0.15437587,-0.34030956,986.7274
130,0.0014830771,0.1492118,-0.32871193,986.7274
131,0.0015520705,0.14347751,-0.3097542,986.7274
132,0.0016385026,0.13650927,-0.28448808,986.7274
133,0.0016618135,0.1275805,-0.2566764,986.7274
134,0.0015871921,0.11612771,-0.22575077,986.7274
135,0.0014814904,0.101772785,-0.18567014,986.7274
136,0.0014231554,0.08399032,-0.13269594,986.7274
137,0.0014156286,0.061213948,-0.07081686,986.7274
138,0.001498888,0.032184206,-0.005240503,986.7274
139,0.0018999758,0.056049213,0.052503653,986.7274
140,0.0023663947,0.07874722,0.097579226,986.7274
141,0.0033229245,0.09595383,0.1235315,986.7274
142,0.004754216,0.10978627,0.13527535,986.7274
143,0.006539962,0.121158734,0.13978788,986.7274
144,0.008165819,0.13057113,0.14387694,986.7274
145,0.009226439,0.13874039,0.15058391,986.7274
146,0.009836101,0.1459717,0.15846652,986.7274
147,0.010682114,0.15249531,0.16271871,986.7274
148,0.011283038,0.15830946,0.16684367,986.7274
149,0.011403243,0.16337383,0.172216,986.7274
150,0.011567978,0.16799358,0.17579828,986.7274
151,0.01157892,0.17200878,0.17856407,986.7274
152,0.011771908,0.17562187,0.17850778,986.7274
153,0.011705789,0.17866439,0.17831622,986.7274
154,0.011186606,0.18139727,0.179912,986.7274
155,0.011564046,0.18382597,0.17372891,986.7274
156,0.011017044,0.1858125,0.17229241,986.7274
157,0.010179305,0.18767741,0.17195345,986.7274
158,0.010070369,0.18947403,0.16649473,986.7274
159,0.009467518,0.19086276,0.16849634,986.7274
160,0.008253361,0.19220182,0.1768459,986.7274
161,0.007583491,0.19367452,0.18214123,986.7274
162,0.0077863485,0.19503774,0.1788522,986.7274
163,0.0065689594,0.19654845,0.1933017,986.7274
164,0.0061091217,0.198745,0.20199543,986.7274
165,0.0061028055,0.20151101,0.20570228,986.7274
166,0.006060437,0.20485198,0.21099149,986.7274
167,0.007154683,0.20840949,0.1999235,986.7274
168,0.008605471,0.21176901,0.18688191,986.7274
169,0.010447228,0.21459979,0.17303407,986.7274
170,0.012426226,0.21659242,0.16083518,986.7274
171,0.013799428,0.21773987,0.15345876,986.7274
172,0.015375805,0.21798426,0.14586303,986.7274
173,0.014772579,0.21772441,0.14732668,986.7274
174,0.015465608,0.21759206,0.14411241,986.7274
175,0.015116303,0.21738932,0.14494105,986.7274
176,0.014696946,0.21764074,0.14637218,986.7274
177,0.015213633,0.21809241,0.14379056,986.7274
178,0.01434013,0.21865647,0.14615172,986.7274
179,0.015167726,0.21938343,0.14102244,986.7274
180,0.0149916345,0.21960269,0.13830791,986.7274
181,0.014864794,0.21956152,0.13417827,986.7274
182,0.014910638,0.21893446,0.12783752,986.7274
183,0.015721269,0.21759924,0.1176849,986.7274
184,0.015443655,0.21548644,0.10923929,986.7274
185,0.01608231,0.21278359,0.09751,986.7274
186,0.01566934,0.20943345,0.0865673,986.7274
187,0.015746627,0.20577264,0.07305917,986.7274
188,0.015513308,0.2015583,0.053216074,986.7274
189,0.014423118,0.19707802,0.05789831,986.7274
190,0.013935414,0.19256806,0.0641074,986.7274
191,0.013237737,0.187669,0.066613875,986.7274
192,0.011925246,0.18259238,0.06956263,986.7274
193,0.011670904,0.17736667,0.06663836,986.7274
194,0.010774078,0.17178869,0.06500351,986.7274
195,0.010633999,0.16600694,0.05900276,986.7274
196,0.009820269,0.15997718,0.054470118,986.7274
197,0.010247854,0.15391234,0.043128345,986.7274
198,0.009730984,0.14741693,0.020365136,986.7274
199,0.0090977615,0.14111623,0.039809946,986.7274
200,0.009241555,0.13476688,0.04292444,986.7274
201,0.008945042,0.1283008,0.04400789,986.7274
202,0.008883798,0.121709935,0.04329485,986.7274
203,0.009160494,0.11467706,0.040750872,986.7274
204,0.009019078,0.10723406,0.03809971,986.7274
205,0.00962341,0.099246524,0.03342231,986.7274
206,0.010152362,0.09006404,0.028113756,986.7274
207,0.010175772,0.079705685,0.022823298,986.7274
208,0.010709273,0.067729816,0.016528912,986.7274
209,0.0113694575,0.052605554,0.009596198,986.7274
210,0.0119453,0.033798173,0.0020702856,986.7274
211,0.012323182,0.043531135,-0.006074469,986.7274
212,0.012524095,0.06331675,-0.014719944,986.7274
213,0.012349333,0.07962893,-0.024079388,986.7274
214,0.012240076,0.09368236,-0.033830434,986.7274
215,0.011926966,0.10661113,-0.044566844,986.7274
216,0.011285076,0.11869556,-0.05676736,986.7274
217,0.010701356,0.13017456,-0.0699544,986.7274
218,0.010261374,0.14135145,-0.083973564,986.7274
219,0.009791592,0.15239403,-0.09950538,986.7274
220,0.009134166,0.16328621,-0.11760264,986.7274
221,0.008268016,0.17392379,-0.13923891,986.7274
222,0.0072252075,0.18421027,-0.16574393,986.7274
223,0.0059885927,0.19407812,-0.2003179,986.7274
224,0.0044962005,0.20346768,-0.25143978,986.7274
225,0.002742263,0.21231279,-0.34403083,986.7274
226,0.001414239,0.22054543,-0.4954364,986.7274
227,0.0028482268,0.22760303,-0.39381865,986.7274
228,0.0037642403,0.23123923,-0.36739236,986.7274
229,0.0034792433,0.23099674,-0.38807797,986.7274
230,0.0023047463,0.22788212,-0.46166146,986.7274
231,0.001425587,0.22390622,-0.5571901,986.7274
232,0.0015403077,0.22090328,-0.545251,986.7274
233,0.0014396838,0.21882704,-0.5727225,986.7274
234,0.0018242423,0.21694817,-0.53603005,986.7274
235,0.0025513102,0.21347216,-0.47439224,986.7274
236,0.0022826944,0.20738956,-0.49284008,986.7274
237,0.0016105267,0.19953437,-0.5527282,986.7274
238,0.0014142297,0.19148691,-0.56615126,986.7274
239,0.0014160194,0.18418925,-0.5558044,986.7274
240,0.001655408,0.17703962,-0.51358956,986.7274
241,0.002145425,0.16832191,-0.44441396,986.7274
242,0.0022143852,0.15640377,-0.40461227,986.7274
243,0.0017851412,0.14063029,-0.385997,986.7274
244,0.001433825,0.12127923,-0.34119606,986.7274
245,0.0014397098,0.09854048,-0.24130033,986.7274
246,0.0014866998,0.06959591,-0.12453016,986.7274
247,0.0016450704,0.031973727,0.0055535664,986.7274
248,0.0022272468,0.07246436,0.12145366,986.7274
249,0.0029917073,0.10053354,0.20923929,986.7274
250,0.00420032,0.12228041,0.26491678,986.7274
251,0.0059035714,0.14043692,0.2958368,986.7274
252,0.008042547,0.15610705,0.3120229,986.7274
253,0.0105399,0.1698697,0.3196725,986.7274
254,0.013338459,0.18204786,0.32175073,986.7274
255,0.016407171,0.19278911,0.3194709,986.7274
256,0.019729253,0.20210168,0.31325406,986.7274
257,0.023283383,0.20988832,0.30327192,986.7274
258,0.027025834,0.21598566,0.28973624,986.7274
259,0.030879334,0.22020431,0.27301916,986.7274
260,0.034731735,0.22236411,0.25365955,986.7274
261,0.03564975,0.2224775,0.23945908,986.7274
262,0.034123365,0.2214683,0.22966465,986.7274
263,0.033332244,0.2198032,0.2170961,986.7274
264,0.03370729,0.21692501,0.20022665,986.7274
265,0.031810924,0.21290405,0.18786716,986.7274
266,0.029142052,0.20854498,0.17787518,986.7274
267,0.027803915,0.2040483,0.16542265,986.7274
268,0.025384204,0.19932353,0.15623105,986.7274
269,0.02254854,0.19479187,0.1495192,986.7274
270,0.019927563,0.19056098,0.14387995,986.7274
271,0.017534826,0.1865105,0.13902406,986.7274
272,0.015097325,0.18255416,0.1344658,986.7274
273,0.012483357,0.1787496,0.13218498,986.7274
274,0.009602607,0.17527024,0.13904114,986.7274
275,0.0067828028,0.1723189,0.15421423,986.7274
